paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
lobbyview_schema	report_uuid	Unique identifier of a quarterly LDA lobbying report (the unit of disclosure)	Reports table	identifier_uuid	N/A (data field, not a scored indicator). Primary key for the Reports table; foreign-keyed by Issues, Texts, and bill_client_networks.	"report_uuid: Unique identifier of the report" (LobbyViewPythonPackage README — reports() endpoint docstring); "based on the universe of lobbying reports filed under the Lobbying Disclosure Act of 1995" (papers/text/Kim_2018__lobbyview.txt:9-10)	Federal LDA. State-level analog: each state defines its own report identifier scheme; harmonization layer needed. Cross-ref items_Kim2018:lobbying_report.
lobbyview_schema	client_uuid	Unique identifier of the lobbying client (the entity hiring lobbyists, a.k.a. "interest group")	Clients table; Reports table FK	identifier_uuid	N/A. Standardized identifier produced by LobbyView's name-disambiguation pipeline (NLP + collaborative filtering, per Kim 2018).	"client_uuid: Unique identifier of the client" (LobbyViewPythonPackage README — clients() endpoint); "identify political actors and their lobbying activities based on standardized firm- and industry-level identifiers to facilitate systemic research on lobbying and merging with external datasets" (papers/text/Kim_2018__lobbyview.txt:12-14)	LobbyView-added enrichment. State-level analog: each state has registrant/client tables; cross-state and cross-time disambiguation is non-trivial. Cross-ref items_Kim2018:firm.
lobbyview_schema	client_name	Name of the lobbying client (the registrant's principal / hiring entity)	Clients table	free_text	N/A. Searchable via partial match (ilike) in API.	"client_name: Name of the client - using partial match with ilike operator" (LobbyViewPythonPackage README — clients() endpoint)	LDA-direct field (LDA Form LD-1/LD-2 client name). Always disclosed at federal level. State-level: most states require this.
lobbyview_schema	primary_naics	Primary NAICS code for the client (industry classification)	Clients table	categorical	N/A. NAICS code range queryable via min_naics/max_naics.	"min_naics, max_naics: NAICS code range filters (North American Industry Classification System)" (LobbyViewPythonPackage README — clients() endpoint); "sorted by industry as identified by NAICS2" (papers/text/Kim_2018__lobbyview.txt:307-308)	LobbyView-added enrichment (industry-classification merge — typically Compustat/Crunchbase/manual). Cross-ref items_Kim2018:industry_naics.
lobbyview_schema	naics_description	Free-text description(s) of the NAICS code(s) for the client (array)	Clients table	free_text	N/A. Array — clients may have multiple NAICS classifications.	"naics_description: Descriptions of the NAICS code - using exact match" (LobbyViewPythonPackage README — clients() endpoint)	LobbyView-added enrichment. Companion to primary_naics.
lobbyview_schema	registrant_uuid	Unique identifier of the registrant (the lobbying firm filing the report on the client's behalf, OR the client itself if self-filing)	Reports table	identifier_uuid	N/A. Distinct from client_uuid: the registrant is the filer (lobbying firm or in-house), the client is the represented entity.	"registrant_uuid: Unique identifier of the registrant" (LobbyViewPythonPackage README — reports() endpoint)	LDA-direct concept (registrant = LDA Form LD-1 §3 filer). State-level: state lobbying registers usually distinguish registrant vs client; some don't.
lobbyview_schema	registrant_name	Name of the registrant (lobbying firm or self-filing organization)	Reports table	free_text	N/A. Searchable via partial match (ilike) in API.	"registrant_name: Name of the registrant - using partial match with ilike operator" (LobbyViewPythonPackage README — reports() endpoint)	LDA-direct field. State-level: usually disclosed.
lobbyview_schema	report_year	Calendar year of the lobbying report	Reports table	numeric	N/A. Used as filter; min_report_year/max_report_year for ranges.	"report_year: Year of the report" (LobbyViewPythonPackage README — reports() endpoint); "consider a range of candidate Congresses extending backwards from the Congress containing the year that the lobbying report was filed" (papers/text/Kim_2018__lobbyview.txt:63-64)	LDA-direct field. Cross-ref items_Kim2018:report_filing_year.
lobbyview_schema	report_quarter_code	Quarter period of the report (Q1-Q4 string)	Reports table	categorical	N/A. Returned as string. Federal LDA reports are filed quarterly post-2007 (HLOGA).	"report_quarter_code: Quarter period of the report (returns quarter as string)" (LobbyViewPythonPackage README — reports() endpoint)	LDA-direct field; quarterly cadence is HLOGA-2007 mandate. State-level: cadence varies (annual / semi-annual / quarterly / monthly-when-in-session).
lobbyview_schema	amount	Lobbying firm income (per LDA reporting rule) OR lobbying expense for in-house filers; the dollar figure for the report period	Reports table	numeric	N/A. Range filtering supported (min_amount, max_amount).	"min_amount, max_amount: Lobbying firm income or lobbying expense (in-house)" (LobbyViewPythonPackage README — reports() endpoint)	LDA-direct field. Federally rounded to nearest $10,000 (LDA reporting rule). State-level: itemization granularity varies enormously.
lobbyview_schema	is_no_activity	Boolean flag — the registrant filed an "activity report" with no lobbying activity in the period	Reports table	boolean	N/A. Used to distinguish active reports from "zero" filings (still required under LDA).	"is_no_activity: Quarterly activity indicator" (LobbyViewPythonPackage README — reports() endpoint)	LDA-direct field. State-level analog: zero-activity reporting requirement varies.
lobbyview_schema	is_client_self_filer	Boolean flag — the registrant is the client (in-house lobbying), not an external lobbying firm	Reports table	boolean	N/A. In-house = self-filer = registrant_uuid corresponds to client_uuid.	"is_client_self_filer: An organization employing its own in-house lobbyist(s)" (LobbyViewPythonPackage README — reports() endpoint)	LDA-direct concept. State-level: in-house vs contract distinction usually preserved.
lobbyview_schema	is_amendment	Boolean flag — this report amends a previously filed report	Reports table	boolean	N/A. Distinguishes original vs. amended filings.	"is_amendment: Amendment of previous report" (LobbyViewPythonPackage README — reports() endpoint)	LDA-direct field. State-level: amendments are commonly disclosed but not always flagged.
lobbyview_schema	issue_ordi	Ordinal position of an issue within a report (1, 2, 3, …)	Issues table; Texts table	numeric	N/A. Compound key with report_uuid identifies a specific issue line.	"issue_ordi: The ordinal number (position) of the issue within the report" (LobbyViewPythonPackage README — issues() endpoint)	LDA-direct: Form LD-2 lists multiple issue codes per report. State-level: per-issue itemization varies.
lobbyview_schema	issue_code	General Issue Area Code (LDA Form LD-2 Section 15) — standardized two-letter taxonomy code (e.g., 'TRD' = Trade)	Issues table; Texts table	categorical	N/A. Filterable; ~80 standardized codes in the LDA taxonomy.	"issue_code: General Issue Area Code (Section 15)" (LobbyViewPythonPackage README — issues() endpoint); "trade = LobbyingReport.query.filter(LobbyingReport.issues.any(LobbyingIssue.code.in_(['TRADE (DOMESTIC/FOREIGN)']))) ... trade.count() 52418" (papers/text/Kim_2018__lobbyview.txt:245-251)	LDA-direct (Section 15 standardized codes). State-level: most states use free-text issue descriptions, not a fixed code list. Cross-ref items_Kim2018:lobbying_issue_code.
lobbyview_schema	gov_entity	Houses of Congress and Federal agencies contacted for this issue (LDA Form LD-2 Section 17) — array	Issues table	categorical	N/A. Array — multiple government entities can be listed per issue.	"gov_entity: House(s) of Congress and Federal agencies (Section 17)" (LobbyViewPythonPackage README — issues() endpoint)	LDA-direct (Section 17). State-level: some states require disclosure of which agency/branch/legislator was contacted; many do not.
lobbyview_schema	issue_text	Specific Lobbying Issues free-text narrative (LDA Form LD-2 Section 16) — describes what the lobbying activity addressed	Texts table	free_text	N/A. Full-text searchable via ilike. Indexed in Whoosh in the 2018 implementation; Elasticsearch in production.	"issue_text: Specific lobbying issues (Section 16) - using partial match with ilike operator" (LobbyViewPythonPackage README — texts() endpoint); "the text of each lobbying report specific issue ... duplicated in a separate full-text index database" (papers/text/Kim_2018__lobbyview.txt:253-256); "interest group activities are documented in Section 16 under 'Specific Lobbying Issues'" (papers/text/Kim_2025__ai_bill_positions_lobbying.txt:395-396)	LDA-direct (Section 16). The load-bearing field for downstream LLM/GNN annotation in Kim 2025. State-level: free-text issue narratives are common but format varies. Cross-ref items_Kim2018:lobbying_specific_issue.
lobbyview_schema	legislator_id	Unique identifier of a legislator (Bioguide ID)	Legislators table; Bills table FK; Networks table FK	identifier_uuid	N/A. Bioguide ID is the canonical Congress.gov member identifier.	"legislator_id: Unique identifier of the legislator from LobbyView (Bioguide ID)" (LobbyViewPythonPackage README — legislators() endpoint)	External-data field (Congress.gov / Bioguide). State-level: each state has its own legislator-ID system; some have OpenStates IDs.
lobbyview_schema	legislator_govtrack_id	GovTrack identifier for the legislator	Legislators table	identifier_uuid	N/A. Cross-reference for joining to GovTrack-sourced datasets.	"legislator_govtrack_id: Unique identifier of the legislator from GovTrack" (LobbyViewPythonPackage README — legislators() endpoint)	External-data field. State-level: GovTrack covers federal only; OpenStates is the state analog.
lobbyview_schema	legislator_first_name	Legislator's first name	Legislators table	free_text	N/A. Partial match (ilike) supported.	"legislator_first_name: First name of the legislator - using partial match with ilike operator" (LobbyViewPythonPackage README — legislators() endpoint)	External-data field.
lobbyview_schema	legislator_last_name	Legislator's last name	Legislators table	free_text	N/A. Partial match (ilike) supported.	"legislator_last_name: Last name of the legislator - using partial match with ilike operator" (LobbyViewPythonPackage README — legislators() endpoint)	External-data field.
lobbyview_schema	legislator_full_name	Legislator's full name (First Middle Last)	Legislators table	free_text	N/A. Partial match (ilike) supported.	"legislator_full_name: Full name of the legislator (First Middle Last) - using partial match" (LobbyViewPythonPackage README — legislators() endpoint)	External-data field.
lobbyview_schema	legislator_gender	Legislator's gender	Legislators table	categorical	N/A. Used as a node feature in Kim 2025's GNN.	"legislator_gender: Gender of the legislator" (LobbyViewPythonPackage README — legislators() endpoint); "Likewise, lobbyists are characterized by features including ethnicity, gender, and past party affiliation for former Congress members" (papers/text/Kim_2025__ai_bill_positions_lobbying.txt:538-540)	External-data field.
lobbyview_schema	legislator_birthday	Legislator's birthday (YYYY-MM-DD)	Legislators table	datetime	N/A. Range filterable (min_birthday, max_birthday).	"birthday: Exact birthday of the legislator (YYYY-MM-DD)" (LobbyViewPythonPackage README — legislators() endpoint)	External-data field.
lobbyview_schema	congress_number	Session of Congress to which a bill belongs (e.g., 110, 117)	Bills table; Bill-Client Networks table	numeric	N/A. Component of bill primary key.	"congress_number: Session of Congress" (LobbyViewPythonPackage README — bills() endpoint); "the id is a string of the form 110 HR7311, where 110 is the number of the congress to which this bill belongs" (papers/text/Kim_2018__lobbyview.txt:201-203)	External-data field (Congress.gov). State-level analog: state legislative session number (varies — biennial/annual/special). Cross-ref items_Kim2018:bill.
lobbyview_schema	bill_chamber	Chamber of origin (House / Senate / joint)	Bills table; Bill-Client Networks table	categorical	N/A. Component of bill identification.	"bill_chamber: Chamber of the legislative branch" (LobbyViewPythonPackage README — bills() endpoint)	External-data field. State-level: most states are bicameral (NE is unicameral); analog applies.
lobbyview_schema	bill_resolution_type	Bill type (e.g., HR, S, HRES, SRES, HJRES, SJRES, HCONRES, SCONRES)	Bills table; Bill-Client Networks table	categorical	N/A. Distinguishes bills from resolutions, joint resolutions, etc.	"bill_resolution_type: Bill type" (LobbyViewPythonPackage README — bills() endpoint)	External-data field. State-level: bill-type taxonomies are state-specific (HB/SB/HJR/SR/etc.).
lobbyview_schema	bill_number	Numeric portion of the bill identifier (e.g., 7311 for HR 7311)	Bills table; Bill-Client Networks table	numeric	N/A. Component of bill primary key.	"bill_number: Bill number" (LobbyViewPythonPackage README — bills() endpoint)	External-data field.
lobbyview_schema	bill_introduced_datetime	Date a bill was introduced to Congress	Bills table	datetime	N/A. Range filterable (min_introduced_date, max_introduced_date).	"min_introduced_date, max_introduced_date: Date of introduction to Congress (YYYY-MM-DD)" (LobbyViewPythonPackage README — bills() endpoint); "we can get the date that the bill was introduced with b.introduced" (papers/text/Kim_2018__lobbyview.txt:206)	External-data field. Cross-ref items_Kim2018:bill_introduced_date.
lobbyview_schema	bill_date_updated	Date of most recent status change for a bill	Bills table	datetime	N/A. Range filterable (min_updated_date, max_updated_date).	"min_updated_date, max_updated_date: Date of most recent status change" (LobbyViewPythonPackage README — bills() endpoint)	External-data field.
lobbyview_schema	bill_state	Status of the bill in the legislative process (e.g., introduced, passed, enacted)	Bills table	categorical	N/A. Partial match (ilike) supported.	"bill_state: Bill status - using partial match with ilike operator" (LobbyViewPythonPackage README — bills() endpoint); features include "Final State" with values "ENACTED:SIGNED, FAIL, PASSED:BILL,..." (papers/text/Kim_2025__ai_bill_positions_lobbying.txt:2052,2066)	External-data field. Used as Bill node feature in Kim 2025 GNN.
lobbyview_schema	bill_url	URL to the bill record (typically Congress.gov)	Bills table	free_text	N/A. Permalink for human-readable bill record.	"bill_url" (LobbyViewPythonPackage README — bills() endpoint, listed in BillResponse fields)	External-data field.
lobbyview_schema	bill_client_link	Inferred edge between a lobbying report (i.e., its client) and one or more bills the report discusses — produced by the bill-detection pipeline	Bill-Client Networks table (private endpoint)	derived_link	N/A. Compound key: (congress_number, bill_chamber, bill_resolution_type, bill_number, report_uuid, issue_ordi, client_uuid).	"Bill-Client Network: congress_number, bill_chamber, bill_resolution_type, bill_number, report_uuid, issue_ordi, client_uuid" (LobbyViewPythonPackage README — bill_client_networks fields); "LobbyView bridges two distinct observable political behaviors with regard to congressional bills: (1) sponsorship by politicians, and (2) reported lobbying by interest groups" (papers/text/Kim_2018__lobbyview.txt:11-12)	LobbyView-added enrichment (the headline contribution of Kim 2018). 5-step pipeline: regex bill numbers + cosine-similarity Congress disambiguation + propagation + title matching + range expansion. Private endpoint — contact lobbydata@gmail.com. Cross-ref items_Kim2018:bill_lobbying_link.
