source_paper,source_id,source_text,group_id,group_label
CPI_2015,C11,Lobbying disclosure,g_ext_001,Composite/meta indicator of overall lobbying disclosure regime quality
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",g_focal_001,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees"
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,g_focal_002,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration
FOCAL,scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",g_focal_003,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy"
FOCAL,scope.4,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",g_focal_004,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails"
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",g_focal_005,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)"
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",g_focal_006,"Lobbying activities are disclosed close to real time (eg, daily)"
FOCAL,timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),g_focal_007,Ministerial diaries are disclosed monthly (or more frequently)
FOCAL,openness.1,Lobbyist register is online,g_focal_008,Lobbyist register is online
FOCAL,openness.2,"Diaries available online (eg, lobbyists, ministers, ministerial staff)",g_focal_009,"Diaries available online (eg, lobbyists, ministers, ministerial staff)"
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",g_focal_010,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable"
FOCAL,openness.4,"Downloadable (eg, as files, database)",g_focal_011,"Downloadable (eg, as files, database)"
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",g_focal_012,"Searchable, simultaneous sorting with multiple criteria"
FOCAL,openness.6,"Unique identifiers (eg, for lobbyists, individuals, organisations)",g_focal_013,"Unique identifiers (eg, for lobbyists, individuals, organisations)"
FOCAL,openness.7,"Linked or interconnected data (to other datasets, eg, campaign financing)",g_focal_014,"Linked or interconnected data (to other datasets, eg, campaign financing)"
FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable,g_focal_015,Historical data in lobbyist register is archived and published; downloadable
FOCAL,openness.9,Changes or updates documented with a flagging system,g_focal_016,Changes or updates documented with a flagging system
FOCAL,descriptors.1,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)",g_focal_017,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)"
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",g_focal_018,"Contact details provided (eg, Address, telephone and/or website)"
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",g_focal_019,"Legal form (eg, public, private, not-for-profit, NGO, government)"
FOCAL,descriptors.4,Company registration number,g_focal_020,Company registration number
FOCAL,descriptors.5,"Sector (eg, transport, energy), sub sector",g_focal_021,"Sector (eg, transport, energy), sub sector"
FOCAL,descriptors.6,"Type of lobbyist contract (eg, salaried staff, contracted)",g_focal_022,"Type of lobbyist contract (eg, salaried staff, contracted)"
FOCAL,revolving_door.1,"List of all prior public offices that lobbyists have held, dates when left office",g_focal_023,"List of all prior public offices that lobbyists have held, dates when left office"
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",g_focal_024,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)"
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),g_focal_025,Client list (for all consultant lobbyists and firms)
FOCAL,relationships.2,Names of all sponsors or members (for associations and representative groups),g_focal_026,Names of all sponsors or members (for associations and representative groups)
FOCAL,relationships.3,"List of board seats held (eg, in associations, companies)",g_focal_027,"List of board seats held (eg, in associations, companies)"
FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households",g_focal_028,"Direct business associations with public officials, candidates or members of their households"
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),g_focal_029,Total lobbying income (for consultant lobbyists/lobby firms)
FOCAL,financials.2,Lobbying income per client,g_focal_030,Lobbying income per client
FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received",g_focal_031,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received"
FOCAL,financials.4,Number of lobbyists employed/contracted (total and full-time equivalent),g_focal_032,Number of lobbyists employed/contracted (total and full-time equivalent)
FOCAL,financials.5,Amount of time spent on lobbying,g_focal_033,Amount of time spent on lobbying
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),g_focal_034,Total lobbying expenditure (both in-house and consulting)
FOCAL,financials.7,Compensated/uncompensated lobbying activities,g_focal_035,Compensated/uncompensated lobbying activities
FOCAL,financials.8,Expenditure per issue,g_focal_036,Expenditure per issue
FOCAL,financials.9,"Expenditure on membership/sponsorship of organisations that lobby (eg, trade associations)",g_focal_037,"Expenditure on membership/sponsorship of organisations that lobby (eg, trade associations)"
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",g_focal_038,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made"
FOCAL,financials.11,"Campaign/political contributions, including in-kind",g_focal_039,"Campaign/political contributions, including in-kind"
FOCAL,contact_log.1,Organisation/interest(s) represented (beneficiary),g_focal_040,Organisation/interest(s) represented (beneficiary)
FOCAL,contact_log.2,Names of persons contacted and their position/role,g_focal_041,Names of persons contacted and their position/role
FOCAL,contact_log.3,Institution/department contacted,g_focal_042,Institution/department contacted
FOCAL,contact_log.4,"If a meeting, names of all attendees",g_focal_043,"If a meeting, names of all attendees"
FOCAL,contact_log.5,Date,g_focal_044,Date
FOCAL,contact_log.6,"Form (eg, in person meeting, video conference, phone call)",g_focal_045,"Form (eg, in person meeting, video conference, phone call)"
FOCAL,contact_log.7,Location,g_focal_046,Location
FOCAL,contact_log.8,"Any materials that were shared, excluding commercially sensitive materials (before, during and after the meeting)",g_focal_047,"Any materials that were shared, excluding commercially sensitive materials (before, during and after the meeting)"
FOCAL,contact_log.9,Topics/issues discussed,g_focal_048,Topics/issues discussed
FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)",g_focal_049,"Outcomes sought (eg, legislation/policies supported/opposed)"
FOCAL,contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc",g_focal_050,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc"
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",g_focal_001,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees"
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",g_focal_002,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration
HiredGuns,Q3,Is a lobbyist required to ﬁle a registration form?,g_ext_002,Whether lobbyists are required to file a registration
HiredGuns,Q4,How many days can lobbying take place before registration is required?,g_ext_003,Days lobbying may take place before registration is required
HiredGuns,Q5,Is subject matter or bill number to be addressed by a lobbyist required on registration forms?,g_ext_004,Whether subject matter or bill numbers must appear on the registration form
HiredGuns,Q6,How often is registration by a lobbyist required?,g_ext_005,How often lobbyist registration is required
HiredGuns,Q7,Within how many days must a lobbyist notify the oversight agency of changes in registration?,g_focal_005,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)"
HiredGuns,Q8,Is a lobbyist required to submit a photograph with registration?,g_ext_006,Whether a photograph must be submitted with lobbyist registration
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,g_focal_025,Client list (for all consultant lobbyists and firms)
HiredGuns,Q10,"Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?",g_focal_035,Compensated/uncompensated lobbying activities
HiredGuns,Q11,Is a lobbyist required to ﬁle a spending report?,g_ext_007,Whether lobbyists are required to file ongoing disclosure/spending reports
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,g_focal_006,"Lobbying activities are disclosed close to real time (eg, daily)"
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,g_focal_029,Total lobbying income (for consultant lobbyists/lobby firms)
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",g_ext_008,"Disclosure of spending broken down by category type (gifts, entertainment, postage, etc.)"
HiredGuns,Q15,What spending must be itemized?,g_ext_009,Whether individual expenditures must be itemized rather than reported in aggregate
HiredGuns,Q16,Is the lobbyist employer/principal on whose behalf the itemized expenditure was made required to be identiﬁed?,g_focal_038,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made"
HiredGuns,Q17,Is the recipient of the itemized expenditure required to be identiﬁed?,g_focal_038,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made"
HiredGuns,Q18,Is the date of the itemized expenditure required to be reported?,g_ext_010,Whether the date of each itemized expenditure must be reported
HiredGuns,Q19,Is a description of the itemized expenditure required to be reported?,g_ext_011,Whether a description of each itemized expenditure must be reported
HiredGuns,Q20,Is subject matter or bill number to be addressed by a lobbyist required on spending reports?,g_focal_050,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc"
HiredGuns,Q21,Is spending on household members of public ofﬁcials by a lobbyist required to be reported?,g_focal_038,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made"
HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?",g_focal_028,"Direct business associations with public officials, candidates or members of their households"
HiredGuns,Q23,What is the statutory provision for a lobbyist giving and reporting gifts?,g_focal_038,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made"
HiredGuns,Q25,Is a lobbyist who has done no spending during a ﬁling period required to make a report of no activity?,g_ext_012,Whether a no-activity report must be filed when there is no spending in a period
HiredGuns,Q26,Is an employer or principal of a lobbyist required to ﬁle a spending report?,g_ext_013,Whether lobbyist employers/principals are required to file spending/disclosure reports
HiredGuns,Q27,Is compensation/salary required to be reported on employer/principal spending reports?,g_focal_034,Total lobbying expenditure (both in-house and consulting)
HiredGuns,Q28,Does the oversight agency provide lobbyists/employers with online registration?,g_ext_014,Whether the oversight agency offers online lobbyist/employer registration
