paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
bednarova_2020	hg.1	In addition to legislative lobbyists, does the definition recognize executive branch lobbyists?	Definition of a lobbyist	categorical	No – 0 points; Yes – 3 points	"1. In addition to legislative lobbyists, does the definition recognize executive branch lobbyists? No – 0 points; Yes – 3 points" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:480-481]	HG-derived item (CPI / Hired Guns side). Numbered #1 in Bednářová's Tab. 1. CZ draft scored 3 [§2(1), §3]. Question #1 of CPI/HG's 48; appears in Tab. 1 because answer is non-zero for CZ draft.
bednarova_2020	hg.2	How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the definition?	Definition of a lobbyist	tiered_categorical	More than $500 – 0 points; More than $100 – 1 point; More than $50 – 2 points; $50 or less – 3 points; Lobbyists qualify and must register no matter how much money made/spent – 4 points	"2. How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the definition? More than $500 – 0 points; More than $100 – 1 point; More than $50 – 2 points; $50 or less – 3 points; Lobbyists qualify and must register no matter how much money made/spent – 4 points" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:482-486]	HG-derived item. Numbered #2 in Tab. 1. CZ draft scored 4 [§6(3)] — registration regardless of amount.
bednarova_2020	hg.3	Is a lobbyist required to file a registration form?	Individual registration	categorical	No – 0 points; Yes – 3 points	"3. Is a lobbyist required to file a registration form? No – 0 points; Yes – 3 points" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:488]	HG-derived item. Numbered #3 in Tab. 1. CZ draft scored 3 [§6(1)].
bednarova_2020	hg.4	How many days can lobbying take place before registration is required?	Individual registration	tiered_categorical	16 or more days – 0 points; 11 to 15 days – 1 point; 6 to 10 days – 2 points; 1 to 5 days – 3 points; 0 days – 4 points	"4. How many days can lobbying take place before registration is required? 16 or more days – 0 points; 11 to 15 days – 1 point; 6 to 10 days – 2 points; 1 to 5 days – 3 points; 0 days – 4 points" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:503-505]	HG-derived item. Numbered #4 in Tab. 1. CZ draft scored 4 [§6(2)] — but text says ten days at line 571 ("within ten days"); apparent inconsistency between Tab. 1 score (4 = "0 days") and narrative (ten-day window). Flag for verification.
bednarova_2020	hg.5	Is subject matter or bill number to be addressed by a lobbyist required on registration forms?	Individual registration	tiered_categorical	No bill number/subject matter required – 0 points; Subject matter only required – 1 point; Bill number required – 3 points	"5. Is subject matter or bill number to be addressed by a lobbyist required on registration forms? No bill number/subject matter required – 0 points; Subject matter only required – 1 point; Bill number required – 3 points" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:506-508]	HG-derived item. Numbered #5 in Tab. 1. CZ draft scored 3 [§12(2-e)].
bednarova_2020	hg.7	Within how many days must a lobbyist notify the oversight agency of changes in registration?	Individual registration	tiered_categorical	16 or more days – 0 points; 11–15 days – 1 point; 6–10 days – 2 points; 1–5 days – 3 points; 0 days – 4 points	"7. Within how many days must a lobbyist notify the oversight agency of changes in registration? 16–or more days – 0 points; 11–15 days – 1 point; 6–10 days – 2 points; 1–5 days – 3 points; 0 days – 4 points" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:509-511]	HG-derived item. Numbered #7 in Tab. 1 — note Bednářová's numbering jumps from 5 to 7, implying #6 was zero-scored and dropped. CZ draft scored 2 [§9(1,2)] — i.e. 6–10 days.
bednarova_2020	hg.9	Is a lobbyist required to identify by name each employer on the registration form?	Individual registration	categorical	No – 0 points; Yes – 1 point	"9. Is a lobbyist required to identify by name each employer on the registration form? No – 0 points; Yes – 1point" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:512-514]	HG-derived item. Numbered #9 in Tab. 1 — #8 dropped (zero-scored). CZ draft scored 1 [§12(2-d)].
bednarova_2020	hg.25	Is a lobbyist who has done no spending during a filing period required to make a report of no activity?	Individual spending disclosure	categorical	No – 0 points; Yes – 1 point	"25. Is a lobbyist who has done no spending during a filing period required to make a report of no activity? No – 0 points; Yes – 1 point" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:516-518]	HG-derived item. Numbered #25 in Tab. 1 — items 10–24 were all zero-scored for the CZ draft and are not listed. CZ draft scored 1 [§12(3)]. Indicates the entire Individual spending disclosure block (other than #25) is zero, plus the entire Employer spending disclosure block.
bednarova_2020	hg.28	Does the oversight agency provide lobbyists/employers with online registration?	Electronic filing	categorical	No – 0 points; Yes – 1 point	"28. Does the oversight agency provide lobbyists/employers with online registration? No – 0 points; Yes – 1 point" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:521-523]	HG-derived item. Numbered #28 in Tab. 1. Bednářová labels the section "Electronic filling" (sic — Czech translation). CZ draft scored 1 [§5(1)].
bednarova_2020	hg.30	Does the oversight agency provide training about how to file registrations/spending reports electronically?	Electronic filing	categorical	No – 0 points; Yes – 1 point	"30. Does the oversight agency provide training about how to file registrations/spending reports electronically? No – 0 points; Yes – 1 point" [papers/text/Bednarova_2020__lobbying_regulation_quality.txt:524-526]	HG-derived item. Numbered #30 in Tab. 1 — #29 dropped (zero-scored). CZ draft scored 1 [§5(2)].
