paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
cpi_2015	C01	Public access to information	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html, body paragraph after 'Grading the states' header)	Category 1 of 13. Worst-performing category in 2015: 44 of 50 states earned F. Article does NOT enumerate the underlying questions in this category.
cpi_2015	C02	Political financing	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 2 of 13. Article does not enumerate underlying questions.
cpi_2015	C03	Electoral oversight	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 3 of 13. Article does not enumerate underlying questions.
cpi_2015	C04	Executive accountability	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 4 of 13. Article does not enumerate underlying questions.
cpi_2015	C05	Legislative accountability	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 5 of 13. Includes financial-interest-disclosure questions (see Q_LA1). Georgia improved here after 2013 $75 lobbyist gift cap.
cpi_2015	C06	Judicial accountability	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 6 of 13. Article does not enumerate underlying questions.
cpi_2015	C07	State budget processes	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 7 of 13. 17 states earned B- or better. Measures whether the budget process is transparent, with sufficient checks and balances, not whether it is well managed.
cpi_2015	C08	State civil service management	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 8 of 13. Article does not enumerate underlying questions.
cpi_2015	C09	Procurement	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 9 of 13. Illinois earned the best grade in the nation in this category.
cpi_2015	C10	Internal auditing	13_categories	category_label	1-100 score per question, aggregated to category letter grade	"The 'indicators' are divided into 13 categories: public access to information, political financing, electoral oversight, executive accountability, legislative accountability, judicial accountability, state budget processes, state civil service management, procurement, internal auditing, lobbying disclosure, state pension fund management and ethics enforcement agencies." (papers/CPI_2015__sii_only_three_states.html)	Category 10 of 13. 29 states earned B- or better. New York earned B+ (top score) for its auditing practices.
