indicator_id,category,indicator_text,data_type,source,scoring_direction,scoring_guidance,notes
1.1,Scope,The register includes multiple lobbyist types (professional/consultant lobbyists; in-house company lobbyists; in-house organization/association lobbyists; law firms; public entities and government-employee lobbyists).,binary,focal_2024_verbatim,normal,"Evidence: statute + registration form + faq. Score 1 if the state's registration requirements explicitly cover at least 3 of the following lobbyist types: (a) contract/consultant lobbyists, (b) in-house company lobbyists, (c) in-house association/nonprofit lobbyists, (d) law-firm lobbyists, (e) government-employee lobbyists. Score 0 if fewer than 3 types are covered.",
1.2,Scope,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration.,binary,focal_2024_verbatim,normal,"Evidence: statute + registration form. Score 1 if the state's registration threshold is at or below the federal LDA benchmark ($3,500 quarterly / ~$14,000 annually in lobbying income OR 20% of time spent lobbying). Score 0 if the threshold is higher than the federal benchmark (casts a narrower net). Record the actual threshold in notes.",Federal LDA benchmark used for defensibility; alternative 'median across states' was considered but rejected as circular.
1.3,Scope,"The register's targets-of-lobbying definition covers legislative branches, executive branch officials, senior agency staff/administrators, and legislative/executive staff. [US-state translation of FOCAL's Westminster terminology.]",binary,focal_2024_operationalized,normal,"Evidence: statute + registration form. US-state role translation: 'Ministers / Deputy Ministers' → governor + lt. governor + cabinet secretaries; 'members of parliament' → state legislators; 'Director-Generals and senior officials' → agency heads and deputy heads; 'staff' → legislative staff + gubernatorial staff. Score 1 if the state's definition covers at least 3 of: legislators, executive-branch officials (gov/cabinet), agency heads, staff. Score 0 if fewer than 3.",Original FOCAL text uses Westminster vocabulary; this operationalization maps to US-state equivalents. Original verbatim text preserved in focal_2024_indicators.csv.
1.4,Scope,"A wide breadth of lobbying activities is included (oral, written, electronic communications; organizing meetings for others; events; phone/email contact).",binary,focal_2024_verbatim,normal,"Evidence: statute. Score 1 if the activity definition explicitly covers oral AND written AND electronic communications (all three). Score 0 otherwise.",
2.1,Timeliness,"Registration changes (new registrations, deregistrations, new clients) are disclosed at least monthly.",binary,focal_2024_operationalized,normal,"Evidence: statute + registration form. Original FOCAL text said 'close to real time (eg, daily)'; operationalized to 'at least monthly' as clean-cut threshold. Score 1 if changes are disclosed monthly or more frequently. Score 0 if quarterly or less frequent.",Monthly threshold chosen as clean cut; the International Standards reference from Lacy-Nichols prose cites 'minimum quarterly ideally close to real-time' — monthly is between those anchors.
2.2,Timeliness,Lobbying activities (compensation/expenditure reports) are disclosed at least monthly.,binary,focal_2024_operationalized,normal,"Evidence: statute + expenditure form + filing-cadence documentation. Score 1 if activity reports are filed monthly or more frequently. Score 0 if quarterly or less frequent. Record the actual cadence in notes.",
2.3,Timeliness,Executive calendar / meeting-log disclosures (where such a mechanism exists) are published at least monthly.,binary,focal_2024_operationalized,normal,"Evidence: statute + executive-calendar policy documentation. Original FOCAL text said 'Ministerial diaries' — renamed to 'executive calendar disclosure' for US context. Score 1 ONLY if the state has such a mechanism AND it is published at least monthly. Score 0 if no mechanism exists OR exists but is less frequent. Most US states will score 0 (no mechanism).",Most US states have no equivalent mechanism; score 0 for them is informative not a defect.
3.1,Openness,The lobbyist register is accessible online.,binary,focal_2024_verbatim,normal,Evidence: landing. Score 1 if there is a publicly accessible online register. Score 0 if registration is paper-only or the online register requires authentication for basic access.,
3.2,Openness,Executive calendar / meeting-log disclosures are accessible online (where such a mechanism exists).,binary,focal_2024_operationalized,normal,"Evidence: landing + executive-calendar page. Renamed from 'diaries'. Score 1 ONLY if such disclosures exist AND are online. Score 0 if no mechanism OR exists only on paper.",Same caveat as 2.3.
3.3a,Openness,Data is available without user registration or login for basic access.,binary,focal_2024_decomposed,normal,"Evidence: landing + search + bulk_download. Score 1 if any core register content is accessible without creating an account. Score 0 if account creation is required for any non-filer access.",Decomposed from FOCAL's compound indicator 3.3 (5 sub-conditions). See focal_2024_indicators.csv for original verbatim text.
