paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
mihut_2008	dim.definition_lobbying	Statutory/official definition of "lobbying" — narrow technical legal definition vs. broad activity-based definition	Terms and definitions: lobbying and lobbyist	open	Mihut contrasts the narrow US LDA definition (covering "lobbying contacts and efforts in support of such contacts" with covered legislative/executive officials) against the broad EU ETI definition ("activities carried out with the objective of influencing the policy formulation and decision-making processes of the European institutions"). No score; descriptive contrast.	"The Lobbying Disclosure Act of 1995 (LDA) defines 'lobbying activities' as 'lobbying contacts and efforts in support of such contacts, including preparation and planning activities, research and other background work […]'; further down it defines 'lobbying contact': 'any oral or written communication (including an electronic communication) to a covered executive branch official or a covered legislative branch official […]'. Obviously, this definition is much narrower than many scholarly definitions: it does not include the influence exerted on the courts, nor the grassroots lobbying. […] When the Commission decided to approach this issue a very broad definition was chosen, as compared to the very specific, even technical American legal definition. The ETI documents defined lobbying as 'activities carried out with the objective of influencing the policy formulation and decision-making processes of the European institutions'" [papers/text/Mihut_2008__lobbying_us_eu.txt:96-99, 281-283]	Mihut quotes OECD 2007 stressing "the critical importance of clear definitions of those who are 'in' and, equally, those who are 'out'" but does not score the definition.
mihut_2008	dim.definition_lobbyist	Statutory/official definition of "lobbyist" / "interest representative"	Terms and definitions	open	Mihut notes the EU shift to "interest representatives" as an equivalent for "lobbyists" and lists EU-recognized organization types (public affairs consultancies, law firms, NGOs, think-tanks, corporate lobby units, trade associations).	"the documents recently adopted by the Commission as well as by the Parliament use the term 'interest representatives' as an equivalent for 'lobbyists'. […] lobbyists as 'persons carrying out such activities, working in a variety of organizations such as public affairs consultancies, law firms, NGOs, think-tanks, corporate lobby units ("in-house representatives") or trade associations'" [papers/text/Mihut_2008__lobbying_us_eu.txt:55-58, 285-289]	Comparative descriptive dimension; not a rubric item.
mihut_2008	dim.scope_branches_covered	Branches of government covered (legislative / executive / judicial / grassroots)	Terms and definitions	open	Mihut notes the LDA covers legislative + executive but not courts or grassroots; she does not propose a score.	"Now, the term describes the activity aimed to influence the policy-making not only in the legislature, but in the executive branch as well, and sometimes in the courts. […] this definition is much narrower than many scholarly definitions: it does not include the influence exerted on the courts, nor the grassroots lobbying." [papers/text/Mihut_2008__lobbying_us_eu.txt:85-92, 96-99]	Comparative dimension.
mihut_2008	dim.regulatory_approach	Regulatory approach: mandatory/compulsory vs. self-regulation vs. accreditation vs. voluntary register	Lobbying in the US and the EU: developments	open	Mihut contrasts the "compulsory system typical of the American approach" against "the lower regulated system specific to the European Parliament" and "the self-regulatory approach that is still proper to the European Commission." She notes the Commission's 2007/2008 ETI as a "departure" toward a binding code of conduct + voluntary register.	"The compulsory system typical of the American approach is compared to the lower regulated system specific to the European Parliament, as well as to the self-regulatory approach that is still proper to the European Commission, even though its recent decisions indicate a departure from it." [papers/text/Mihut_2008__lobbying_us_eu.txt:12-15]	Headline comparative dimension.
mihut_2008	dim.registration_required	Whether registration of lobbyists is required (and with whom)	Developments in lobbying regulations	open	Mihut describes US LDA registration with Secretary of Senate / Clerk of House; EU Parliament accreditation via quaestor-issued passes + signed register; Commission voluntary register opened June 2008.	"lobbyists had to register with the Secretary of the Senate and the Clerk of the House, and to make semiannual reports on their activities. […] the lobbyists have access to the Parliament using nominative passes issued by quaestors; in return, they are required to observe a ten-point code of conduct, and to sign a register, which is published on the Parliament website. […] the Commission […] launched the ETI in order to review the framework for 'interest representation (lobbying)'. […] a new voluntary register of interest representatives coupled with a binding code of conduct." [papers/text/Mihut_2008__lobbying_us_eu.txt:353-356, 399-410, 462-470]	Comparative dimension.
mihut_2008	dim.disclosure_content	Content of disclosure reports — clients, branches/agencies lobbied, compensation, funding sources	Developments in lobbying regulations	open	Mihut summarizes LDA disclosure (clients, house/agency lobbied, amount paid) and contrasts it with the Commission's "selected budget figures and budget sources" vs. the Parliament's call for "full financial disclosure."	"They had to report who their clients were, what house of the Congress or what agencies they lobbied, how much they were paid. […] while the Commission concluded to request registrants selected budget figures and budget sources, the Parliament called for 'full financial disclosure'." [papers/text/Mihut_2008__lobbying_us_eu.txt:356-359, 452-456]	Comparative dimension.
mihut_2008	dim.disclosure_frequency	Reporting frequency — semiannual vs. quarterly	Developments in lobbying regulations	open	Mihut notes the 2007 HLOGA shifted LDA reporting from semiannual to quarterly; no comparable EU frequency is set out.	"Title II, 'Full Public Disclosure of Lobbying', provides quarterly reports, rather than semiannual ones, and other detailed disclosures." [papers/text/Mihut_2008__lobbying_us_eu.txt:376-378]	Comparative dimension.
mihut_2008	dim.gift_restrictions	Restrictions on gifts from lobbyists to officials	Developments in lobbying regulations	open	Mihut describes the 1995 LDA's gift limits and the 2007 HLOGA's outright prohibition on lobbyist gifts; no EU equivalent enumerated.	"the law restricted gifts to officials. […] Also, the Act prohibits giving of gifts by lobbyists and their clients to members of Congress and their staff." [papers/text/Mihut_2008__lobbying_us_eu.txt:359-360, 379-381]	Comparative dimension.
mihut_2008	dim.revolving_door	Cooling-off / revolving-door restrictions	Developments in lobbying regulations	open	Mihut highlights HLOGA Title I "Closing the Revolving Doors" — Senate two-year cooling off (up from one); House one year. No EU equivalent identified.	"Title I of the new law is significant: 'Closing the Revolving Doors'. According to its provisions, the departing members of the Senate must wait now two years, instead of one, before lobbying former colleagues (the former members of the House of Representatives must wait one year)." [papers/text/Mihut_2008__lobbying_us_eu.txt:369-375]	Comparative dimension.
mihut_2008	dim.code_of_conduct	Code of conduct for lobbyists / for legislators	Developments in lobbying regulations	open	Mihut notes the EP's ten-point code of conduct for lobbyists + Annex I code for MEPs ("Transparency and members' financial interests"); Commission's binding code of conduct (2007/2008 ETI); UK House of Commons rules "to regulate the lobbied rather than the lobbyists."	"Annex I refers to the 'Transparency and members' financial interests'; the other concerns 'Lobbying in Parliament' (Annex IX). According to this document, the lobbyists […] are required to observe a ten-point code of conduct […]. […] a new voluntary register of interest representatives coupled with a binding code of conduct. […] the House of Commons had introduced rules relating the conduct of its members, that is 'to regulate the lobbied rather than the lobbyists'" [papers/text/Mihut_2008__lobbying_us_eu.txt:339-342, 397-402, 410-411]	Comparative dimension.
