source_paper,source_id,source_text,group_id,group_label
Newmark2005,def_legislative_lobbying,legislative lobbying,g_001,Definition: legislative lobbying is in scope of lobbyist definition
Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist,g_001,Definition: legislative lobbying is in scope of lobbyist definition
Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition,g_001,Definition: legislative lobbying is in scope of lobbyist definition
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,g_002,Definition: administrative/executive-agency lobbying is in scope of lobbyist definition
Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,g_002,Definition: administrative/executive-agency lobbying is in scope of lobbyist definition
Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,g_002,Definition: administrative/executive-agency lobbying is in scope of lobbyist definition
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",g_002,Definition: administrative/executive-agency lobbying is in scope of lobbyist definition
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,g_003,Definition: elected officials may be classified as lobbyists
Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors,g_003,Definition: elected officials may be classified as lobbyists
Opheim,def.elective_officials,elective officials designated as lobbyists,g_003,Definition: elected officials may be classified as lobbyists
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,g_004,Definition: public employees may be classified as lobbyists
Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors,g_004,Definition: public employees may be classified as lobbyists
Opheim,def.public_employees,public employees designated as lobbyists,g_004,Definition: public employees may be classified as lobbyists
Newmark2005,def_compensation_standard,compensation standard,g_005,Threshold: compensation level triggering lobbyist registration
Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),g_005,Threshold: compensation level triggering lobbyist registration
Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,g_005,Threshold: compensation level triggering lobbyist registration
Newmark2005,def_expenditure_standard,expenditure standard,g_006,Threshold: expenditure level triggering lobbyist registration
Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),g_006,Threshold: expenditure level triggering lobbyist registration
Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,g_006,Threshold: expenditure level triggering lobbyist registration
Newmark2005,def_time_standard,time standard,g_007,Threshold: time devoted to lobbying triggering registration
Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),g_007,Threshold: time devoted to lobbying triggering registration
Opheim,def.time_standard,specific time standard to delineate lobbying activity,g_007,Threshold: time devoted to lobbying triggering registration
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",g_008,Threshold: any monetary make/spend qualifying threshold for lobbyist registration
HiredGuns,Q3,Is a lobbyist required to ﬁle a registration form?,g_009,Lobbyist required to file a registration form
HiredGuns,Q4,How many days can lobbying take place before registration is required?,g_010,Maximum days of lobbying allowed before registration is required
HiredGuns,Q5,Is subject matter or bill number to be addressed by a lobbyist required on registration forms?,g_011,Registration must include subject matter or bill numbers to be lobbied
HiredGuns,Q6,How often is registration by a lobbyist required?,g_012,Required frequency of lobbyist registration renewal
HiredGuns,Q7,Within how many days must a lobbyist notify the oversight agency of changes in registration?,g_013,Required timeframe for notifying agency of registration changes
HiredGuns,Q8,Is a lobbyist required to submit a photograph with registration?,g_014,Lobbyist required to submit a photograph with registration
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,g_015,Disclosure required: names of all principals/employers/clients represented by the lobbyist
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),g_015,Disclosure required: names of all principals/employers/clients represented by the lobbyist
pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?,g_015,Disclosure required: names of all principals/employers/clients represented by the lobbyist
HiredGuns,Q10,"Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?",g_016,Registration form requires additional information about type of lobbying work (compensated/contract/salaried)
HiredGuns,Q11,Is a lobbyist required to ﬁle a spending report?,g_017,Lobbyist required to file a spending/expenditure report
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,g_018,Frequency of lobbyist spending reports
Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),g_018,Frequency of lobbyist spending reports
Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,g_018,Frequency of lobbyist spending reports
OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),g_018,Frequency of lobbyist spending reports
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,g_019,Disclosure required: lobbyist compensation/salary on spending reports
OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),g_019,Disclosure required: lobbyist compensation/salary on spending reports
Sunlight,lobbyist_compensation,Lobbyist Compensation,g_019,Disclosure required: lobbyist compensation/salary on spending reports
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",g_020,"Disclosure required: spending totals classified by category (e.g., gifts, entertainment)"
Newmark2005,disc_categories_of_expenditures,categories of expenditures,g_020,"Disclosure required: spending totals classified by category (e.g., gifts, entertainment)"
Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures,g_020,"Disclosure required: spending totals classified by category (e.g., gifts, entertainment)"
Opheim,disclosure.spending_by_category,spending by category,g_020,"Disclosure required: spending totals classified by category (e.g., gifts, entertainment)"
HiredGuns,Q15,What spending must be itemized?,g_021,Disclosure required: itemized spending (which expenditures must be itemized)
HiredGuns,Q16,Is the lobbyist employer/principal on whose behalf the itemized expenditure was made required to be identiﬁed?,g_022,Disclosure required: lobbyist employer/principal on whose behalf the itemized expenditure was made
HiredGuns,Q17,Is the recipient of the itemized expenditure required to be identiﬁed?,g_023,Disclosure required: recipient of itemized expenditure
HiredGuns,Q18,Is the date of the itemized expenditure required to be reported?,g_024,Disclosure required: date of itemized expenditure
HiredGuns,Q19,Is a description of the itemized expenditure required to be reported?,g_025,Disclosure required: description of itemized expenditure
HiredGuns,Q20,Is subject matter or bill number to be addressed by a lobbyist required on spending reports?,g_026,Disclosure required: subject matter or bill number on lobbyist spending reports
HiredGuns,Q21,Is spending on household members of public ofﬁcials by a lobbyist required to be reported?,g_027,Disclosure required: spending on household members of public officials
HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?",g_028,"Disclosure required: lobbyist business ties to officials, candidates, or household members"
FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households",g_028,"Disclosure required: lobbyist business ties to officials, candidates, or household members"
HiredGuns,Q23,What is the statutory provision for a lobbyist giving and reporting gifts?,g_029,Statutory provisions for lobbyist gifts (giving and reporting)
HiredGuns,Q25,Is a lobbyist who has done no spending during a ﬁling period required to make a report of no activity?,g_030,Lobbyist with no spending in a filing period must file a no-activity report
HiredGuns,Q26,Is an employer or principal of a lobbyist required to ﬁle a spending report?,g_031,Employer/principal required to file a spending report
HiredGuns,Q27,Is compensation/salary required to be reported on employer/principal spending reports?,g_032,Disclosure required: compensation/salary on employer/principal spending reports
Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,g_033,Disclosure required: legislation/administrative action lobbyist sought to influence
Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action,g_033,Disclosure required: legislation/administrative action lobbyist sought to influence
Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,g_033,Disclosure required: legislation/administrative action lobbyist sought to influence
