paper,indicator_id,indicator_text,section
CPI_2015,C11,Lobbying disclosure,13_categories
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",Scope: The scope of what is included and excluded from the register
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Scope: The scope of what is included and excluded from the register
FOCAL,scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",Scope: The scope of what is included and excluded from the register
FOCAL,scope.4,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",Scope: The scope of what is included and excluded from the register
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",Timeliness: The frequency of lobbying disclosures
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",Timeliness: The frequency of lobbying disclosures
FOCAL,timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),Timeliness: The frequency of lobbying disclosures
FOCAL,openness.1,Lobbyist register is online,Openness: How easy it is to find and use information in the register
FOCAL,openness.2,"Diaries available online (eg, lobbyists, ministers, ministerial staff)",Openness: How easy it is to find and use information in the register
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",Openness: How easy it is to find and use information in the register
FOCAL,openness.4,"Downloadable (eg, as files, database)",Openness: How easy it is to find and use information in the register
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",Openness: How easy it is to find and use information in the register
FOCAL,openness.6,"Unique identifiers (eg, for lobbyists, individuals, organisations)",Openness: How easy it is to find and use information in the register
FOCAL,openness.7,"Linked or interconnected data (to other datasets, eg, campaign financing)",Openness: How easy it is to find and use information in the register
FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable,Openness: How easy it is to find and use information in the register
FOCAL,openness.9,Changes or updates documented with a flagging system,Openness: How easy it is to find and use information in the register
FOCAL,descriptors.1,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)",Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying
FOCAL,descriptors.4,Company registration number,Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying
FOCAL,descriptors.5,"Sector (eg, transport, energy), sub sector",Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying
FOCAL,descriptors.6,"Type of lobbyist contract (eg, salaried staff, contracted)",Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying
FOCAL,revolving_door.1,"List of all prior public offices that lobbyists have held, dates when left office",Revolving door: The movement between public and private sector employment
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",Revolving door: The movement between public and private sector employment
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),Relationships: The connections between the different actors involved in or benefiting from lobbying
FOCAL,relationships.2,Names of all sponsors or members (for associations and representative groups),Relationships: The connections between the different actors involved in or benefiting from lobbying
