paper,indicator_id,indicator_text,section,blob,topics,ntopics
ALTER_EU,financial_disclosure.1,"Replace the current system of hugely diverging bandwidths with a requirement that consultancies and law firms declare clients' expenditure in bandwidths of €10,000.",Financial disclosure requirements,"replace the current system of hugely diverging bandwidths with a requirement that consultancies and law firms declare clients' expenditure in bandwidths of €10,000. financial disclosure requirements",[],0
ALTER_EU,funding_sources.1,"All registrants (including industry lobby groups, thinktanks and NGOs) should name all government agencies, grant-making foundations, companies and others that contribute to their budget.",Transparency on funding sources,"all registrants (including industry lobby groups, thinktanks and ngos) should name all government agencies, grant-making foundations, companies and others that contribute to their budget. transparency on funding sources",['reg_org_subsidiary'],1
ALTER_EU,funding_sources.2,Registrants should specify the amount received from each funding contributor.,Transparency on funding sources,registrants should specify the amount received from each funding contributor. transparency on funding sources,['reg_org_subsidiary'],1
ALTER_EU,funding_sources.3,Small private donations from individuals (up to a certain threshold) should be exempt from the funding-source disclosure requirement.,Transparency on funding sources,small private donations from individuals (up to a certain threshold) should be exempt from the funding-source disclosure requirement. transparency on funding sources,['reg_org_subsidiary'],1
ALTER_EU,lobbyist_names.1,"Registrants should be required to list the names of all their lobbyists in the register, not simply those with parliamentary access badges.",Names of lobbyists and revolving door listings,"registrants should be required to list the names of all their lobbyists in the register, not simply those with parliamentary access badges. names of lobbyists and revolving door listings",['disc_revolving'],1
ALTER_EU,lobbyist_names.2,"Registrants should disclose any former public offices that their lobbyists have held, including at the national level.",Names of lobbyists and revolving door listings,"registrants should disclose any former public offices that their lobbyists have held, including at the national level. names of lobbyists and revolving door listings","['reg_lobbyist_id', 'disc_revolving']",2
ALTER_EU,issues_lobbied.1,"Organisations should be required to provide precise information on the main legislative proposals they are lobbying on, including a list of official legislative references.",Issues lobbied on,"organisations should be required to provide precise information on the main legislative proposals they are lobbying on, including a list of official legislative references. issues lobbied on",['disc_bills'],1
ALTER_EU,issues_lobbied.2,Leaving the issues-lobbied field blank or providing a very general description should not be allowed.,Issues lobbied on,leaving the issues-lobbied field blank or providing a very general description should not be allowed. issues lobbied on,[],0
ALTER_EU,issues_lobbied.3,"Introduce a more user-friendly disclosure model for issues lobbied on, for example a drop-down list of legislative dossiers.",Issues lobbied on,"introduce a more user-friendly disclosure model for issues lobbied on, for example a drop-down list of legislative dossiers. issues lobbied on",['disc_bills'],1
ALTER_EU,issues_lobbied.4,"Consultancies and law firms should be obliged to provide a list of the main legislative proposals on which they have lobbied, for each of their clients.",Issues lobbied on,"consultancies and law firms should be obliged to provide a list of the main legislative proposals on which they have lobbied, for each of their clients. issues lobbied on",['disc_bills'],1
ALTER_EU,up_to_date.1,The register secretariat should actively check entry updates and ensure financial information is up-to-date.,Securing up-to-date information,the register secretariat should actively check entry updates and ensure financial information is up-to-date. securing up-to-date information,['timeliness'],1
ALTER_EU,up_to_date.2,"As a starting point, lobby expenses should refer to the most recent calendar year.",Securing up-to-date information,"as a starting point, lobby expenses should refer to the most recent calendar year. securing up-to-date information",['timeliness'],1
ALTER_EU,up_to_date.3,"Require all registrations to be updated twice a year, on fixed and pre-determined dates.",Securing up-to-date information,"require all registrations to be updated twice a year, on fixed and pre-determined dates. securing up-to-date information",['timeliness'],1
ALTER_EU,up_to_date.4,Lobby consultancies and law firms should provide an up-to-date list of clients from the previous six-month period twice a year.,Securing up-to-date information,lobby consultancies and law firms should provide an up-to-date list of clients from the previous six-month period twice a year. securing up-to-date information,['timeliness'],1
ALTER_EU,up_to_date.5,New clients should be declared within one month after the start of the contract.,Securing up-to-date information,new clients should be declared within one month after the start of the contract. securing up-to-date information,['timeliness'],1
ALTER_EU,firm_clients.1,Conduct regular checks on registrations and enforce against incomplete client lists and unrecognisable/ambiguous client-name abbreviations.,Lobby firms' clients,conduct regular checks on registrations and enforce against incomplete client lists and unrecognisable/ambiguous client-name abbreviations. lobby firms' clients,[],0
ALTER_EU,firm_clients.2,Consultancies and law firms that fail to disclose clients should be suspended from the register and have their Parliamentary passes withdrawn.,Lobby firms' clients,consultancies and law firms that fail to disclose clients should be suspended from the register and have their parliamentary passes withdrawn. lobby firms' clients,['reg_client'],1
ALTER_EU,firm_clients.3,"Reject any ad-hoc, derogative or exceptional formula for category I (law firms and lobby consultancies) entities claiming a need for client confidentiality; law firms providing lobbying services should be subject to the same transparency requirements as any other actor involved in lobbying.",Lobby firms' clients,"reject any ad-hoc, derogative or exceptional formula for category i (law firms and lobby consultancies) entities claiming a need for client confidentiality; law firms providing lobbying services should be subject to the same transparency requirements as any other actor involved in lobbying. lobby firms' clients",[],0
ALTER_EU,consultancy_assistance.1,Registrants should be required to report which lobby consultancies and law firms have assisted them in their lobbying.,Obliging registrants to disclose lobby consultancies and law firms assisting their lobbying,registrants should be required to report which lobby consultancies and law firms have assisted them in their lobbying. obliging registrants to disclose lobby consultancies and law firms assisting their lobbying,[],0
ALTER_EU,lobbyist_count.1,"Registered organisations should disclose the total number of persons involved in lobbying, including their names.",Tackling the problem of under-reporting the number of lobbyists,"registered organisations should disclose the total number of persons involved in lobbying, including their names. tackling the problem of under-reporting the number of lobbyists",[],0
ALTER_EU,lobbyist_count.2,"Registrants should disclose a calculation of total full-time equivalents (FTEs) for the organisation, given that some employees may be engaged in interest representation only part of the time.",Tackling the problem of under-reporting the number of lobbyists,"registrants should disclose a calculation of total full-time equivalents (ftes) for the organisation, given that some employees may be engaged in interest representation only part of the time. tackling the problem of under-reporting the number of lobbyists",[],0
ALTER_EU,lobbyist_count.3,"The register secretariat must enforce FTE calculation guidelines uniformly, not allowing different calculations to be used in combination with explanations from registrants.",Tackling the problem of under-reporting the number of lobbyists,"the register secretariat must enforce fte calculation guidelines uniformly, not allowing different calculations to be used in combination with explanations from registrants. tackling the problem of under-reporting the number of lobbyists",[],0
ALTER_EU,data_checking.1,"Enable more comprehensive and effective data checking, including systematic checking of all new entries.",More comprehensive and effective data checking,"enable more comprehensive and effective data checking, including systematic checking of all new entries. more comprehensive and effective data checking",[],0
ALTER_EU,public_scrutiny.1,Document changes in registrations with a flagging system that enables proper monitoring and allows the public to make comparisons both between organisations and over time.,Better public scrutiny,document changes in registrations with a flagging system that enables proper monitoring and allows the public to make comparisons both between organisations and over time. better public scrutiny,[],0
ALTER_EU,pro_active.1,The European Commission should provide comprehensive information online about all meetings and contacts between Commission officials and lobbyists.,Pro-active transparency,the european commission should provide comprehensive information online about all meetings and contacts between commission officials and lobbyists. pro-active transparency,[],0
AccessInfo,gp.1,Lobbying is a legitimate activity and an important part of the democratic process.,GUIDING PRINCIPLES,lobbying is a legitimate activity and an important part of the democratic process. guiding principles,['preamble_principle'],1
AccessInfo,gp.2,"There is a significant public interest in ensuring the transparency and integrity of lobbying, as well as diversity of participation and contribution to public decision-making.",GUIDING PRINCIPLES,"there is a significant public interest in ensuring the transparency and integrity of lobbying, as well as diversity of participation and contribution to public decision-making. guiding principles",['def_what_lobbying'],1
AccessInfo,gp.3,"Any regulatory measures shall be proportionate, fit for purpose and not impede on the individual rights of assembly, free speech and petition of government.",GUIDING PRINCIPLES,"any regulatory measures shall be proportionate, fit for purpose and not impede on the individual rights of assembly, free speech and petition of government. guiding principles",['enforce_oversight_body'],1
AccessInfo,scope.1,"'Lobbying' should cover any direct or indirect communication with a public official made, managed or directed with the purpose of influencing public decision-making.",REGULATORY SCOPE > Definitions,"'lobbying' should cover any direct or indirect communication with a public official made, managed or directed with the purpose of influencing public decision-making. regulatory scope > definitions","['def_what_lobbying', 'enforce_oversight_body']",2
AccessInfo,scope.2,"'Public Official' shall include any individual with decision-making powers (and their advisors), elected/appointed/employed in executive or legislative branches at national, sub-national, or supra-national levels; in private bodies performing public functions; and in public international organisations domiciled or operational in the country.",REGULATORY SCOPE > Definitions,"'public official' shall include any individual with decision-making powers (and their advisors), elected/appointed/employed in executive or legislative branches at national, sub-national, or supra-national levels; in private bodies performing public functions; and in public international organisations domiciled or operational in the country. regulatory scope > definitions","['enforce_oversight_body', 'training']",2
AccessInfo,scope.3,"'Lobbyist' should entail any natural or legal person who engages in lobbying activities, whether for private, public or collective ends, whether for compensation or without.",REGULATORY SCOPE > Definitions,"'lobbyist' should entail any natural or legal person who engages in lobbying activities, whether for private, public or collective ends, whether for compensation or without. regulatory scope > definitions",['enforce_oversight_body'],1
AccessInfo,scope.4,"'Public decision-making' shall include creation/amendment of legislation or other regulatory measures; development, modification and implementation of public policies, strategies and programmes; and awarding of government contracts/grants, administrative decisions or other public spending decisions.",REGULATORY SCOPE > Definitions,"'public decision-making' shall include creation/amendment of legislation or other regulatory measures; development, modification and implementation of public policies, strategies and programmes; and awarding of government contracts/grants, administrative decisions or other public spending decisions. regulatory scope > definitions","['def_what_lobbying', 'enforce_oversight_body']",2
