paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
hired_guns_2007	Q1	In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?	Deﬁnition of Lobbyist	boolean	No – 0 points Yes – 3 points	"1. In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists? No – 0 points Yes – 3 points" (papers/text/CPI_2007__hired_guns_methodology.txt:32)	CPI explicitly carves out: "States did not receive points for including executive communication in the deﬁnition only when it directly related to legislative action." Implicit scope condition.
hired_guns_2007	Q2	How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?	Deﬁnition of Lobbyist	ordinal	"Qualiﬁcation threshold: More than $500 made/spent – 0 points; More than $100 made/spent – 1 point; More than $50 made/spent – 2 points; $50 or less made/spent – 3 points; Lobbyists qualify and must register no matter how much money made/spent – 4 points"	"2. How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?" (papers/text/CPI_2007__hired_guns_methodology.txt:44)	5-level ordinal threshold scale; 'no threshold' or 'any compensation triggers registration' = full points.
hired_guns_2007	Q3	Is a lobbyist required to ﬁle a registration form?	Individual Registration	boolean	No – 0 points Yes – 3 points	"3. Is a lobbyist required to ﬁle a registration form? No – 0 points Yes – 3 points" (papers/text/CPI_2007__hired_guns_methodology.txt:64)	Refers to individual lobbyist registration, not employer/group.
hired_guns_2007	Q4	How many days can lobbying take place before registration is required?	Individual Registration	ordinal	"16 or more days – 0 points; 11 to 15 days – 1 point; 6 to 10 days – 2 points; 1 to 5 days – 3 points; 0 days – 4 points"	"4. How many days can lobbying take place before registration is required?" (papers/text/CPI_2007__hired_guns_methodology.txt:68)	5-level ordinal grace-period scale.
hired_guns_2007	Q5	Is subject matter or bill number to be addressed by a lobbyist required on registration forms?	Individual Registration	categorical	"No bill number/subject matter required – 0 points; Subject matter only required – 1 point; Bill number required – 3 points"	"5. Is subject matter or bill number to be addressed by a lobbyist required on registration forms?" (papers/text/CPI_2007__hired_guns_methodology.txt:75)	3-level categorical (none/subject only/bill number).
hired_guns_2007	Q6	How often is registration by a lobbyist required?	Individual Registration	ordinal	"Once only – 0 points; Every two years – 1 point; Annually or more often – 2 points"	"6. How often is registration by a lobbyist required? Once only – 0 points Every two years – 1 point Annually or more often – 2 points" (papers/text/CPI_2007__hired_guns_methodology.txt:84)	Includes regular supplements/refilings.
hired_guns_2007	Q7	Within how many days must a lobbyist notify the oversight agency of changes in registration?	Individual Registration	ordinal	"16 – or more days – 0 points; 11 – 15 days – 1 point; 6 – 10 days – 2 points; 1 – 5 days – 3 points; 0 days – 4 points"	"7. Within how many days must a lobbyist notify the oversight agency of changes in registration?" (papers/text/CPI_2007__hired_guns_methodology.txt:94)	Specifically for changes in registration info; not regular spending reports.
hired_guns_2007	Q8	Is a lobbyist required to submit a photograph with registration?	Individual Registration	boolean	No – 0 points Yes – 1 point	"8. Is a lobbyist required to submit a photograph with registration? No – 0 points Yes – 1 point" (papers/text/CPI_2007__hired_guns_methodology.txt:101)	Pertains to identification badges.
hired_guns_2007	Q9	Is a lobbyist required to identify by name each employer on the registration form?	Individual Registration	boolean	No – 0 points Yes – 1point	"9. Is a lobbyist required to identify by name each employer on the registration form? No – 0 points Yes – 1point" (papers/text/CPI_2007__hired_guns_methodology.txt:108)	Either single-form-multi-employer or per-employer-registration counts as full points.
hired_guns_2007	Q10	Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?	Individual Registration	boolean	No – 0 points Yes – 1 point	"10. Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?" (papers/text/CPI_2007__hired_guns_methodology.txt:120)	Full points if info appears on spending reports rather than registration; CPI relaxes the location.
