indicator_id,indicator_text,bednarova_cii,cpi_normalised,cpi_original,roth_normalised,roth_original,total_unweighted,our_weight,source_quote
scope.1,"A wide breadth of lobbyists are included, e.g. professional lobbyists/consultants, in-house lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",,,,7,14,7,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
scope.2,"All lobbyists, regardless of time and/or money spent lobbying, are included",7,7,4,,,14,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",3,5.25,3,3,6,11.25,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
scope.4,"A wide breadth of activities are included, e.g. oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
timeliness.1,"Changes (e.g. registering/deregistering lobbyists, new clients) and activities (e.g. meetings, contact logs) are updated close to real time (e.g. daily)",7,7,4,1,2,15,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.1,Lobbyist register is online,4,,,1,2,5,2,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.2,"Diaries available online (e.g., lobbyists, ministers, ministerial staff)",,,,,,,1,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.3,"Open data: machine readable, non-proprietary format (e.g., CSV, not Excel), available without registration, free to access, open license (e.g., no limits to reuse)",,,,,,,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
openness.4,"Downloadable (e.g., entire dataset as csv/pdf files, database)",4,7,4,,,11,3,"Verbatim Suppl File 1 Table 4 (""Details of weighted indicators"") of Lacy-Nichols 2025. Per the table caption: ""The CPI and Roth weights were normalised to the Bednarova framework (original weights shown in parenthesis). The weights given for each framework were summed (total column). Scores 10 and higher were weighted 3, scores 1 and higher were weighted 2. We also identified four indicators that we believe are crucial to transparency and also warrant a weight of 3 based on our experience analysing lobbyist registers."" Bednarova citation: Bednárová P. The Evaluation of the Government Draft Lobbying Act in the Czech Republic beyond the Framework of RIA. E+M Ekonomie a Management. 2020;23:33-47. CPI = Center for Public Integrity, Hired Guns Methodology 2007. Roth = Roth A., Creating a Valid and Accessible Robustness Index (2020)."
