paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
ibac_2022	rec3.a	Legislation increases the transparency and accountability of lobbying activities in a way that includes, but is not limited to, the issues set out in (b)–(i)	Recommendation 3 preamble / general transparency	principle	Not specified (IBAC framework is a legislative recommendation set, not a scored index)	"increases the transparency and accountability of lobbying activities in a way that includes, but is not limited to, the issues set out below" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:412)	Generic preamble item; FOCAL's count of "8 categories" appears to exclude this. Kept here as rec3.a so indicator_id aligns with IBAC's labeling. Discussed in section 4.1.3.
ibac_2022	rec3.b.i	Define 'lobbying activity' in legislation in a way that captures any contact with government representatives (with reference to the Scottish approach) made in relation to government or parliamentary functions, and decision-making at the local government level	Definitions of lobbying activity, lobbyist, and government representative	definitional	Not specified	"defines the following in legislation: i) 'lobbying activity' in a way that captures any contact with government representatives (with reference to the Scottish approach) that is made in relation to: government or parliamentary functions, and decision-making at the local government level" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:415-419)	Discussed in 4.2.1.1 and 4.2.1.3. IBAC explicitly cites Scotland's Lobbying (Scotland) Act 2016 as the model.
ibac_2022	rec3.b.ii	Define 'lobbyist' in legislation in a way that focuses on the activity being undertaken, not persons in the business of lobbying	Definitions of lobbying activity, lobbyist, and government representative	definitional	Not specified	"'lobbyist' in a way that focuses on the activity being undertaken, not persons in the business of lobbying" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:420-421)	Activity-based rather than role-based definition; intended to sweep in government affairs directors, in-house lobbyists, occasional lobbyists.
ibac_2022	rec3.b.iii	Define 'government representative' in legislation to encompass all public officers who may be subject to lobbying activity, including members of parliament, electorate officers, councillors and council officers	Definitions of lobbying activity, lobbyist, and government representative	definitional	Not specified	"'government representative' in a way that encompasses all public officers who may be subject to lobbying activity, including members of parliament, electorate officers, councillors and council officers" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:422-424)	Critical scope expansion: Victorian current code excludes MPs (unless ministers) and electorate officers; this would bring them in.
ibac_2022	rec3.c.i.1	When an MP initiates a meeting with a minister or their adviser, the MP must disclose to the responsible minister's office whether the MP has a private interest in the matter (with 'private interest' defined to include donations or other benefits provided by a person or entity who asked the MP to make representations)	Disclosure obligations for MP-initiated meetings with ministers	disclosure	Not specified	"ensures members of parliament who initiate meetings with a minister or their adviser: i) disclose to the responsible minister's office: whether the member of parliament has a private interest in the matter about which representations are being made (noting that a private interest in this context should be defined to include donations or other benefits provided by a person or entity who asked the member of parliament to make representations to the minister)" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:425-430)	Atomized from (c)(i) first bullet. Discussed in 4.2.1.2. IBAC explicitly broadens 'private interest' to capture donor-driven advocacy.
ibac_2022	rec3.c.i.2	When an MP initiates a meeting with a minister or their adviser and has a private interest, the MP must disclose to the responsible minister's office the nature of that interest	Disclosure obligations for MP-initiated meetings with ministers	disclosure	Not specified	"the nature of that interest (if the member of parliament has a private interest)" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:431)	Atomized from (c)(i) second bullet.
ibac_2022	rec3.c.i.3	When an MP initiates a meeting with a minister or their adviser, the MP must disclose to the responsible minister's office the names of any persons or entities who have made representations to the MP requesting that they lobby the minister or their adviser (regardless of whether the MP has a private interest)	Disclosure obligations for MP-initiated meetings with ministers	disclosure	Not specified	"the names of any persons or entities who have made representations to the member of parliament requesting that they lobby the minister or their adviser (regardless of whether the member of parliament has a private interest in the matter)" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:432-434)	Atomized from (c)(i) third bullet. Triggered regardless of private interest — this is the core anti-channeling provision.
ibac_2022	rec3.c.ii	MPs initiating such meetings must maintain records of those disclosures in a form that is auditable and can be made available to appropriate entities, including the lobbying regulator	Disclosure obligations for MP-initiated meetings with ministers	recordkeeping	Not specified	"maintain records of those disclosures in a form that is auditable, and can be made available to appropriate entities, including the lobbying regulator" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:435-436)	Pairs with (c)(i) — auditability is the enforcement hook.
ibac_2022	rec3.d.i	Lobbyists must document the name and role of the government representative who has been lobbied, published via an easily accessible and searchable register	Lobbyist documentation of contacts (publicly searchable register)	disclosure	Not specified	"requires that lobbyists document their contacts with government representatives, and that this information is published via an easily accessible and searchable register that includes, but is not limited to: i) the name and role of the government representative who has been lobbied" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:437-440)	Discussed in 4.2.3.1.
ibac_2022	rec3.d.ii	Lobbyists must document the subject of the lobbying and its purpose, published via an easily accessible and searchable register	Lobbyist documentation of contacts (publicly searchable register)	disclosure	Not specified	"the subject of the lobbying and its purpose" (papers/text/IBAC_2022__corruption_risks_donations_lobbying.txt:441)	
