source_paper,source_id,source_text,group_id,group_label
Newmark2005,def_legislative_lobbying,legislative lobbying,g_001,Definition of lobbyist includes legislative-branch lobbying
Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist,g_001,Definition of lobbyist includes legislative-branch lobbying
Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition,g_001,Definition of lobbyist includes legislative-branch lobbying
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",g_002,Definition of lobbyist includes executive/administrative-agency lobbying
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,g_002,Definition of lobbyist includes executive/administrative-agency lobbying
Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,g_002,Definition of lobbyist includes executive/administrative-agency lobbying
Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,g_002,Definition of lobbyist includes executive/administrative-agency lobbying
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,g_003,Definition treats elected/elective officials as lobbyists when engaged in lobbying
Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors,g_003,Definition treats elected/elective officials as lobbyists when engaged in lobbying
Opheim,def.elective_officials,elective officials designated as lobbyists,g_003,Definition treats elected/elective officials as lobbyists when engaged in lobbying
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,g_004,Definition treats public employees as lobbyists when engaged in lobbying
Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors,g_004,Definition treats public employees as lobbyists when engaged in lobbying
Opheim,def.public_employees,public employees designated as lobbyists,g_004,Definition treats public employees as lobbyists when engaged in lobbying
Newmark2005,def_compensation_standard,compensation standard,g_005,Compensation threshold defines lobbyist status (dollar earnings trigger)
Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),g_005,Compensation threshold defines lobbyist status (dollar earnings trigger)
Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,g_005,Compensation threshold defines lobbyist status (dollar earnings trigger)
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",g_006,Expenditure threshold defines lobbyist status (dollar spending trigger)
Newmark2005,def_expenditure_standard,expenditure standard,g_006,Expenditure threshold defines lobbyist status (dollar spending trigger)
Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),g_006,Expenditure threshold defines lobbyist status (dollar spending trigger)
Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,g_006,Expenditure threshold defines lobbyist status (dollar spending trigger)
Newmark2005,def_time_standard,time standard,g_007,Time threshold defines lobbyist status (amount of time spent lobbying triggers status)
Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),g_007,Time threshold defines lobbyist status (amount of time spent lobbying triggers status)
