source_paper,source_id,source_text,group_id,group_label
CPI_2015,C11,Lobbying disclosure,g_ext_049,Overall lobbying-disclosure regime quality (composite)
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",g_focal_001,"Types of lobbyists included in the register (consultants, in-house, firms, etc.)"
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,g_focal_002,No or low financial/time threshold for lobbyist registration
FOCAL,scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",g_focal_003,"Targets of lobbying covered (legislative, executive, agency officials, staff)"
FOCAL,scope.4,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",g_focal_004,"Breadth of lobbying activities covered (oral, written, electronic, events)"
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",g_focal_005,"Registration changes updated close to real-time (e.g., daily)"
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",g_focal_006,Lobbying activities disclosed close to real-time
FOCAL,timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),g_focal_007,Ministerial/official diaries disclosed monthly or more frequently
FOCAL,openness.1,Lobbyist register is online,g_focal_008,Lobbyist register is online
FOCAL,openness.2,"Diaries available online (eg, lobbyists, ministers, ministerial staff)",g_focal_009,Lobbyist/official diaries available online
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",g_focal_010,"Free, open-license, machine-readable, non-proprietary access"
FOCAL,openness.4,"Downloadable (eg, as files, database)",g_focal_011,Disclosure data downloadable as files or database
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",g_focal_012,Searchable with simultaneous multi-criteria sorting
FOCAL,openness.6,"Unique identifiers (eg, for lobbyists, individuals, organisations)",g_focal_013,"Unique identifiers for lobbyists, individuals, organisations"
FOCAL,openness.7,"Linked or interconnected data (to other datasets, eg, campaign financing)",g_focal_014,"Linked/interconnected data (e.g., to campaign finance)"
FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable,g_focal_015,Historical lobbyist register data archived and downloadable
FOCAL,openness.9,Changes or updates documented with a flagging system,g_focal_016,Changes/updates documented with a flagging system
FOCAL,descriptors.1,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)",g_focal_017,Full names of lobbyists and organisations
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",g_focal_018,"Contact details (address, phone, website)"
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",g_focal_019,"Legal form (public, private, NGO, government)"
FOCAL,descriptors.4,Company registration number,g_focal_020,Company registration number
FOCAL,descriptors.5,"Sector (eg, transport, energy), sub sector",g_focal_021,Sector and sub-sector
FOCAL,descriptors.6,"Type of lobbyist contract (eg, salaried staff, contracted)",g_focal_022,Type of lobbyist contract (salaried vs. contracted)
FOCAL,revolving_door.1,"List of all prior public offices that lobbyists have held, dates when left office",g_focal_023,"Prior public offices held by lobbyists, dates left office"
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",g_focal_024,Cooling-off / ban on officials becoming lobbyists
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),g_focal_025,Client list (lobbyist-to-principal representation)
FOCAL,relationships.2,Names of all sponsors or members (for associations and representative groups),g_focal_026,Sponsors or members of associations/representative groups
FOCAL,relationships.3,"List of board seats held (eg, in associations, companies)",g_focal_027,"Board seats held (associations, companies)"
FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households",g_focal_028,Direct business associations with public officials or households
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),g_focal_029,Total lobbying compensation/income (consultant lobbyists/firms)
FOCAL,financials.2,Lobbying income per client,g_focal_030,Lobbying compensation per client/employer
FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received",g_focal_031,"Income sources and amounts (e.g., grants, government, companies)"
FOCAL,financials.4,Number of lobbyists employed/contracted (total and full-time equivalent),g_focal_032,Number of lobbyists employed/contracted (total and FTE)
FOCAL,financials.5,Amount of time spent on lobbying,g_focal_033,Amount of time spent on lobbying
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),g_focal_034,Total lobbying expenditure
FOCAL,financials.7,Compensated/uncompensated lobbying activities,g_focal_035,Compensated vs. uncompensated lobbying activities
FOCAL,financials.8,Expenditure per issue,g_focal_036,Lobbying expenditure per issue
FOCAL,financials.9,"Expenditure on membership/sponsorship of organisations that lobby (eg, trade associations)",g_focal_037,Expenditure on memberships in associations that lobby
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",g_focal_038,"Expenditures benefitting officials (gifts, hospitality, with principal named)"
FOCAL,financials.11,"Campaign/political contributions, including in-kind",g_focal_039,Campaign/political contributions (including in-kind)
