paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
chung_2024	industry_sector_classification	Industry sector to which a lobbying client belongs (one of four "harmful industry" sectors of public-health concern: tobacco, alcohol, gambling, ultraprocessed food)	Industry classification (analytical slice)	categorical	Four-category classification: tobacco; alcohol; gambling; ultraprocessed food (UPF). Operationalized via five OpenSecrets-designated industry categories: tobacco; casinos/gambling; beer, wine, and liquor; food and beverage; food processing and sales (the latter two map to UPF). Each client is assigned to a single sector; for the 9 clients that OpenSecrets had cross-classified, the sector with the greatest lobbying expenses was used.	"For this study, we focused on five OpenSecrets designated categories that best represented the tobacco, alcohol, gambling, and UPF sectors (tobacco; casinos/gambling; beer, wine, and liquor; and food and beverage and food processing and sales)." papers/text/Chung_2024__mapping_lobbying_footprint.txt:196-198 ; "we mainly relied on the classification and naming scheme applied by the OpenSecrets database, in nine cases, a company or trade association was classified to more than one sector... To determine an overall classification for these nine clients, the total lobbying expenses for the client were reviewed, and we coded them to the sector with the greatest lobbying expenses." papers/text/Chung_2024__mapping_lobbying_footprint.txt:257-268	Empirical-application paper, not a rubric. This is the study's primary analytical-slice variable. The paper is open about the limitation that "many companies in these categories have diverse portfolios (for instance, Coca-Cola has a large bottled-water segment) and that not all products are universally or equivalently harmful to health" (lines 198-201). UPF is constructed by aggregating two OpenSecrets categories.
chung_2024	commercial_actor_type	Whether the lobbying client is an individual commercial company or an industry trade association	Commercial-actor typology	categorical	Binary classification: commercial company vs. trade association. Hand-coded by researchers based on prior knowledge plus web searches of the client's name. Native American nations operating casinos were coded as companies "as most were incorporated entities."	"We reviewed all individual clients and coded them as either commercial company or trade association. Clients were categorized based on researcher knowledge and confirmed through conducting web searches of the client's name to find additional information. Many of the clients lobbying in the gambling sector were Native American nations where casinos were located. We coded these clients as companies, as most were incorporated entities." papers/text/Chung_2024__mapping_lobbying_footprint.txt:210-215	Authors flag this distinction as a contribution: "we also differentiate between individual companies and industry trade associations, a distinction that is often missing in empirical studies of political activity" (lines 72-74). OpenSecrets itself uses the umbrella term "client" for both. Hand-coded over n=1,047 clients.
chung_2024	lobbying_expenditure_total	Total lobbying expenditure (USD) attributed to a client over the study window, inflation-adjusted to 2020 values via World Bank GDP deflators	Lobbying-activity metric (spending)	continuous_currency	Sum of annual lobbying expenses 1998-2020, drawn from OpenSecrets CSV downloads. All values converted to 2020 USD using World Bank GDP deflators. For clients acquired by parents during the window, OpenSecrets' retroactive linkage means historical expenditures roll up to the current parent (e.g., Philip Morris pre-2003 spend rolls into Altria).	"All expenditure data were adjusted for inflation using gross domestic product price deflators sourced from the World Bank Databank. All results are reported in 2020 values." papers/text/Chung_2024__mapping_lobbying_footprint.txt:207-209 ; "Essentially, the lobbying expenditures that businesses incurred before they were acquired is added to their parent company's total expenditure." papers/text/Chung_2024__mapping_lobbying_footprint.txt:247-248	Headline metric of the paper. Sector totals: UPF $1.15B; gambling $817M; tobacco $755M; alcohol $541M; combined $3.26B = 5.7% of all US lobbying 1998-2020. Inflation adjustment is methodologically explicit. Parent-rollup is a feature of OpenSecrets, not a Chung construction.
chung_2024	lobbying_expenditure_annual	Annual lobbying expenditure (USD) attributed to a client/sector for a given year, used to track time trends and identify policy-event spikes	Lobbying-activity metric (temporal)	continuous_currency	Annual expenditure series 1998-2020 per client and per sector. Used to detect spikes correlating with policy events (e.g., 2009 sugary-drink-tax proposal coinciding with UPF spike; 2013-2015 GMO-labeling fights coinciding with food-industry surge).	"Spending over time has varied for each sector (Figure 1). Tobacco expenditure peaked at over US $110 million in 1998, dropping to just over US $35 million in 1999... we can see that certain peaks in spending correspond with various policy issues. In 2009, when a tax on sugary drinks was proposed, there was a spike in lobbying by the UPF sector." papers/text/Chung_2024__mapping_lobbying_footprint.txt:299-301, 444-447	Time-series cut of the expenditure metric. Authors flag potential extension: "Future studies could analyze the OpenSecrets data in relation to the wider political landscape to see if peaks in lobbying correspond with the development of policies or regulations" (lines 451-453).
chung_2024	active_client_count	Number of unique commercial actors (companies + trade associations) in a sector that filed any lobbying expenditure in a given year or over the study window	Lobbying-activity metric (participation)	count	Distinct count of clients per sector per year, and over 1998-2020 cumulatively. Reported totals: UPF 462; gambling 351; alcohol 109; tobacco 86. Also reported as time series with a notable surge across all four sectors 2007-2009.	"The UPF industry had the highest number of unique clients engaged in lobbying between 1998 and 2020 (n = 462), followed by gambling (n = 351), alcohol (n = 109), and tobacco (n = 86). For all sectors, the number of clients engaged in lobbying surged between 2007 and 2009" papers/text/Chung_2024__mapping_lobbying_footprint.txt:312-332	Used to demonstrate that participation count and total spending do not always co-vary ("There was not always a correlation between the number of clients engaged in lobbying and the total amount of money spent," lines 334-335).
chung_2024	spending_concentration	Degree to which lobbying expenditure within a sector is concentrated among a small number of top clients	Lobbying-activity metric (concentration)	derived_share	Computed as the share of total sector spending captured by the top-N clients. Reported in the paper as: top 2 tobacco clients account for >60% of tobacco spending (Altria 31%, Philip Morris International 29%); the top 50% of spending is spread across 4 alcohol clients, 10 UPF clients, and 30 gambling clients.	"The tobacco industry displayed the highest degree of concentration, with two clients accounting for over 60% of all spending (Altria Group, 31%; Philip Morris International, 29%). The other sectors displayed less concentration, with the top 50% of spending spread across four clients in alcohol, 10% in UPFs, and 30% in the gambling sector." papers/text/Chung_2024__mapping_lobbying_footprint.txt:337-341	Substantive finding: a barometer for whether public-health advocates face a few-large-actor opposition (tobacco) or a fragmented one (gambling). The paper notes the "10%" UPF figure as count of clients, not share — read as "10 UPF clients account for top 50%."
chung_2024	years_active	Number of distinct years a client filed any lobbying expenditure within the 1998-2020 window	Lobbying-activity metric (longevity)	count	Counted as years-with-nonzero-expenditure per client. Cross-tabulated against total expenditure to expose patterns where clients spend a lot in 1 year (e.g., Tobacco Institute, $3.6M in one year before disbanding in 1998) versus those spending consistently small amounts every year (e.g., Seafreeze, LTD, $27,779 over 23 years).	"There was some correlation between the amount of money a client spent on lobbying and the number of years they were active. However, some clients only lobbied in 1 year but spent far more than others that lobbied every year (for example, the Tobacco Institute lobbied once, spending $3.6 million dollars... compared with Seafreeze, LTD, which lobbied every year but spent only $27,779 overall)." papers/text/Chung_2024__mapping_lobbying_footprint.txt:342-347	Used to construct Figure 4 (years-active vs. spending scatter).
chung_2024	market_share_lobbying_match	Whether a high-market-share company in a sector is documented in OpenSecrets as having spent on lobbying, and the share of sector lobbying expenditure that those high-market-share companies represent	Cross-source linkage metric	derived_share	Top-20 (by Euromonitor market share, 2013-2020) per sector matched to OpenSecrets via Excel Fuzzy Lookup (manually reviewed). Reported coverage: 60% of 25 alcohol companies, 54% of 26 tobacco companies, 51% of 70 UPF companies appeared as lobbying clients. Their share of company lobbying expenditure 2013-2020: ~66% tobacco, ~90% alcohol, ~64% UPF.	"Of the companies with the largest market share in the tobacco, alcohol, and UPF sectors, only a portion were documented as spending money lobbying in the OpenSecrets database: 15 (60%) of 25 alcohol companies, 14 (54%) of 26 tobacco industry companies, and 36 (51%) of 70 UPF companies lobbied. However, these companies accounted for a substantial percentage of total company lobbying expenditure." papers/text/Chung_2024__mapping_lobbying_footprint.txt:386-394	Gambling excluded ("Euromonitor does not provide market share data about the gambling sector in the United States," lines 277-278). Tests the assumption "the largest companies lobby" — finding: only ~half do, but those that do account for the bulk of spending.
chung_2024	lobbyist_employment_type	Whether a lobbyist is employed in-house (directly by the company or trade association) or by a third-party lobby firm contracted by the client	Lobbyist-employment classification	categorical	Binary: in-house vs. third-party. OpenSecrets reports the two streams separately. For third-party firms, total firm spend is divided by number of lobbyists active that year to allocate per-lobbyist spend (avoids double counting).	"The OpenSecrets database separates the lobbying expenses for in-house lobbyists (directly employed by the company or trade association) and third-party lobbyists (employed by external lobby firms)... To avoid double counting, we divided this number by the number of lobbyists active in that year (i.e., if a firm spent $100,000 and employed four lobbyists, we assigned each lobbyist a $25,000 value)." papers/text/Chung_2024__mapping_lobbying_footprint.txt:222-234	Phase-2 metric, applied to the top 2 companies + top 2 trade associations per sector (n=16 clients). The pro-rata allocation rule is a Chung methodological choice; OpenSecrets data does not disaggregate firm spend per lobbyist.
chung_2024	in_house_vs_third_party_spend_ratio	Share of a client's lobbying expenditure spent on in-house versus third-party lobbyists	Lobbyist-employment metric (spend)	derived_share	Calculated by sector for the top-16 clients. Reported: tobacco 86% in-house; UPF 86% in-house; alcohol 71% in-house; gambling 18% in-house. At actor-type level, only tobacco trade associations and gambling companies spent more on third-party lobbyists.	"the tobacco and UPF industries had the highest ratio of spending allocated to in-house lobbyists (both 86%), followed by alcohol (71%), whereas gambling only allocated 18% to in-house lobbyists. When we compared companies and trade associations, only two groups spent more on third-party lobbyists: tobacco associations and gambling companies." papers/text/Chung_2024__mapping_lobbying_footprint.txt:399-403	Substantive finding feeds into the policy implication: "of significant concern for countries that do not require recording of in-house lobbyists as part of lobbying disclosure requirements was the finding that most of the sectors used in-house lobbyists" (lines 528-533).
