item_id,category,item_text,data_type,source,scoring_direction,scoring_guidance,notes
Q1,Data availability,"At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).",binary,pri_2010_kept,normal,"Score 1 if ANY disclosure data is obtainable by any means; 0 only if the state has no accessible disclosure data at all.",
Q2,Website existence,The state has a dedicated website for lobbying information.,binary,pri_2010_kept,normal,"Score 1 if a state-operated website hosts lobbying information. Likely 1 for all 50 states in 2026 — retained for continuity with PRI 2010.",
Q3,Website identification,"The state's lobbying website can be found via a plain search (e.g., first-page Google result for ""<state> lobbying disclosure"").",binary,pri_2010_kept,normal,"Score 1 if the official state portal appears in the first 5 organic Google results for the query; 0 otherwise. Document the search URL and result position as evidence.",Sharpened 2026 scoring guidance — PRI 2010 left ""easily"" undefined.
Q4,Current data availability,At least some current lobbying data/information available on the website for the most recent year.,binary,pri_2010_kept,normal,"Score 1 if filings from the current calendar year are viewable on the portal; 0 otherwise.",
Q5,Historical data availability,"Historical lobbying information is available, downloadable, or at least viewable going back at least 5 years.",binary,pri_2010_kept,normal,"Score 1 if filings from at least 5 prior years are accessible on the portal; 0 otherwise. Document the earliest viewable year as evidence.",Sharpened 2026 scoring guidance — PRI 2010 did not specify horizon; 5 years chosen as a research-useful floor.
Q6,Data format,"Users can download lobbying data in a structured electronic format (CSV, Excel, XML, JSON) immediately usable for analysis — as opposed to only HTML tables, PDFs, or image-based scans.",binary,pri_2010_kept,normal,"Score 1 if at least one download path yields a structured, parseable format (CSV/Excel/XML/JSON). Q10 (bulk download) and Q11 (API) capture stronger variants.",2026 guidance clarifies ""electronic format"" vs PRI 2010's ""Excel or SPSS"".
Q7a,Sorting data — by principal,Can users specify data searches on the portal by principal (city; authority hiring; employer; corporation).,binary,pri_2010_kept,normal,"Score 1 if the portal's search interface accepts principal-name or principal-entity as a filter field.",
Q7b,Sorting data — by principal location,Can users specify data searches by principal's location (address; city).,binary,pri_2010_kept,normal,"Score 1 if the portal's search interface accepts principal address or city as a filter.",
Q7c,Sorting data — by lobbyist name,Can users specify data searches by lobbyist name.,binary,pri_2010_kept,normal,"Score 1 if the portal's search interface accepts lobbyist name as a filter.",
Q7d,Sorting data — by lobbyist location,Can users specify data searches by lobbyist location (address; city).,binary,pri_2010_kept,normal,"Score 1 if the portal's search interface accepts lobbyist address or city as a filter.",
Q7e,Sorting data — by date,Can users specify data searches by specific date.,binary,pri_2010_kept,normal,"Score 1 if the portal's search interface accepts a specific date as a filter.",
Q7f,Sorting data — by period,Can users specify data searches by specific time period (quarter or state-specific filing interval).,binary,pri_2010_kept,normal,"Score 1 if the portal's search interface accepts a reporting-period range as a filter.",
Q7g,Sorting data — by total expenditures,Can users specify data searches by total expenditures.,binary,pri_2010_kept,normal,"Score 1 if users can filter by a total-spend threshold or range.",
Q7h,Sorting data — by compensation,Can users specify data searches by compensation spending.,binary,pri_2010_kept,normal,"Score 1 if users can filter by compensation amount specifically.",
Q7i,Sorting data — by misc expenses,Can users specify data searches by miscellaneous expenses (non-compensation).,binary,pri_2010_kept,normal,"Score 1 if users can filter by non-compensation expense amount.",
Q7j,Sorting data — by funding source,Can users specify data searches by sources of funding (public/taxpayer-funded emphasis).,binary,pri_2010_kept,normal,"Score 1 if users can filter records by funding-source category.",
Q7k,Sorting data — by subject,Can users specify data searches by subject of lobbying (or item of legislation).,binary,pri_2010_kept,normal,"Score 1 if users can filter by subject/topic or legislation.",
