paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
lacy_nichols_2023	indicator.registration	Registration: Count of registered lobby firms or lobbyists (often used to measure the density of lobbying populations or as a proxy for activity)	Table 3: Indicators used to analyse lobbying activity	count	Not specified; descriptive count. Used as direct measure (population of lobbyists) or as a proxy for activity.	"Registration | Count of registered lobby firms or lobbyists (often used to measure the density of lobbying populations or as a proxy for activity)" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:361)	Most common indicator in the corpus: n=67 of 165 studies (line 376–378). Earliest indicator measured (only form before 2004; line 386–388). Inductively developed from screening the included studies, not pre-specified.
lacy_nichols_2023	indicator.expenditure	Expenditure: Amount of money spent on lobbying (e.g., firm or client expenditure, distinct from political contributions)	Table 3: Indicators used to analyse lobbying activity	amount	Not specified; descriptive monetary amount. Used as direct measure or proxy for activity.	"Expenditure | Amount of money spent on lobbying (e.g., firm or client expenditure, distinct from political contributions)" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:362)	Second-most common indicator: n=56 of 165 studies (line 378). Most expenditure studies (48 of 56) use Open Secrets, biasing the literature toward US Congress (lines 414–417). Note explicit distinction from political contributions.
lacy_nichols_2023	indicator.meetings	Meetings: Face-to-face meetings with public servants (e.g., elected officials, staff, bureaucrats); requests for meetings; reports of government branch(es), agency(s) or department(s) contacted; informal meetings	Table 3: Indicators used to analyse lobbying activity	count	Not specified; descriptive count. Authors call meetings "the 'gold standard' of political access" (line 199–200) — phase-2 deep-dive focus.	"Meetings | Face-to-face meetings with public servants (e.g., elected officials, staff, bureaucrats); requests for meetings; reports of government branch(es), agency(s) or department(s) contacted; informal meetings" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:363–364)	n=15 of 165 studies (line 379). Selected for stage-2 deep-dive analysis (lines 376–382). Compound indicator: bundles face-to-face, meeting requests, agency contact reports, and informal meetings as one category.
lacy_nichols_2023	indicator.comments	Comments: Text of written letters, submissions, comments, responses to consultations, etc.	Table 3: Indicators used to analyse lobbying activity	field	Not specified; document/text-based content for qualitative or text-mining analysis.	"Comments | Text of written letters, submissions, comments, responses to consultations, etc" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:365)	n=14 of 165 studies (line 379). Compound indicator: subsumes letters, submissions, consultation responses; includes both formal regulatory comment and policy-submission text.
lacy_nichols_2023	indicator.bills	Bills: Number of bills lobbied; number of groups that lobby a bill	Table 3: Indicators used to analyse lobbying activity	count	Not specified; descriptive count. Two distinct counts subsumed (bills-per-actor; actors-per-bill).	"Bills | Number of bills lobbied; number of groups that lobby a bill" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:366)	n=9 of 165 studies (line 379–380). Compound: combines actor-centric (how many bills a lobbyist touched) with bill-centric (how many actors lobbied a given bill).
lacy_nichols_2023	indicator.committees	Committees: Participation in committee hearings/consultations; committee membership; Congressional testimony	Table 3: Indicators used to analyse lobbying activity	count	Not specified; descriptive count of participation events.	"Committees | Participation in committee hearings/consultations; committee membership; Congressional testimony" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:367)	n=4 of 165 studies (line 380) — least-used indicator in the corpus. Compound: subsumes hearings, formal membership, and testimony.
lacy_nichols_2023	actor_cat.business	Business — also Company, Private firm, Corporate bodies, For-profit organisations	Table 6: Categories used to classify actors engaged in lobbying	category	Not specified; descriptive taxonomy of actor types as used across reviewed studies.	"Business | Company, Private firm, Corporate bodies, For-profit organisations" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:851–852)	Table 6 maps the most common actor-classification scheme observed across the 15 meeting studies. Not the paper's own scheme — a synthesis of vocabulary used in the literature. Each row pairs a canonical category with its synonyms.
lacy_nichols_2023	actor_cat.business_association	Business association — also Industry group, Peak body, Trade group, Trade association	Table 6: Categories used to classify actors engaged in lobbying	category	Not specified; descriptive taxonomy.	"Business association | Industry group, Peak body, Trade group, Trade association" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:854–855)	Table 6 entry. Trade-association / peak-body cluster.
lacy_nichols_2023	actor_cat.union	Union — also Labour union, Trade union	Table 6: Categories used to classify actors engaged in lobbying	category	Not specified; descriptive taxonomy.	"Union | Labour union, Trade union" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:856)	Table 6 entry.
lacy_nichols_2023	actor_cat.research	Research — also Research institutions, Academic organisation, University	Table 6: Categories used to classify actors engaged in lobbying	category	Not specified; descriptive taxonomy.	"Research | Research institutions, Academic organisation, University" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:857–858)	Table 6 entry.
lacy_nichols_2023	actor_cat.public_interest	Public interest — also Advocacy, Civil society group, Public interest group, Public interest association, Non-governmental organization, Charity, Citizen groups, Public institution	Table 6: Categories used to classify actors engaged in lobbying	category	Not specified; descriptive taxonomy.	"Public interest | Advocacy, Civil society group, Public interest group, Public interest association, Non-governmental organization, Charity, Citizen groups, Public institution" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:859–862)	Table 6 entry; widest synonym set of any category (8 alternative labels) — flags definitional fuzziness for non-commercial actor types.
lacy_nichols_2023	actor_cat.government	Government — also State government, Local government, Government organisations, Federal agencies, Foreign governments, Public bodies	Table 6: Categories used to classify actors engaged in lobbying	category	Not specified; descriptive taxonomy.	"Government | State government, Local government, Government organisations, Federal agencies, Foreign governments, Public bodies" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:863–865)	Table 6 entry. Government appears as an *actor* engaged in lobbying — captures sub-national governments lobbying federal/supranational bodies.
lacy_nichols_2023	actor_cat.identity_group	Identity group — also Religious, Hobby group	Table 6: Categories used to classify actors engaged in lobbying	category	Not specified; descriptive taxonomy.	"Identity group | Religious, Hobby group" (papers/text/Lacy-Nichols_2023__aiding_empirical_research_cdoh.txt:866)	Table 6 entry.
