paper,indicator_id,indicator_text,section
ALTER_EU,financial_disclosure.1,"Replace the current system of hugely diverging bandwidths with a requirement that consultancies and law firms declare clients' expenditure in bandwidths of €10,000.",Financial disclosure requirements
ALTER_EU,funding_sources.1,"All registrants (including industry lobby groups, thinktanks and NGOs) should name all government agencies, grant-making foundations, companies and others that contribute to their budget.",Transparency on funding sources
ALTER_EU,funding_sources.2,Registrants should specify the amount received from each funding contributor.,Transparency on funding sources
ALTER_EU,funding_sources.3,Small private donations from individuals (up to a certain threshold) should be exempt from the funding-source disclosure requirement.,Transparency on funding sources
ALTER_EU,lobbyist_names.1,"Registrants should be required to list the names of all their lobbyists in the register, not simply those with parliamentary access badges.",Names of lobbyists and revolving door listings
ALTER_EU,lobbyist_names.2,"Registrants should disclose any former public offices that their lobbyists have held, including at the national level.",Names of lobbyists and revolving door listings
ALTER_EU,issues_lobbied.1,"Organisations should be required to provide precise information on the main legislative proposals they are lobbying on, including a list of official legislative references.",Issues lobbied on
ALTER_EU,issues_lobbied.2,Leaving the issues-lobbied field blank or providing a very general description should not be allowed.,Issues lobbied on
ALTER_EU,issues_lobbied.3,"Introduce a more user-friendly disclosure model for issues lobbied on, for example a drop-down list of legislative dossiers.",Issues lobbied on
ALTER_EU,issues_lobbied.4,"Consultancies and law firms should be obliged to provide a list of the main legislative proposals on which they have lobbied, for each of their clients.",Issues lobbied on
ALTER_EU,up_to_date.1,The register secretariat should actively check entry updates and ensure financial information is up-to-date.,Securing up-to-date information
ALTER_EU,up_to_date.2,"As a starting point, lobby expenses should refer to the most recent calendar year.",Securing up-to-date information
ALTER_EU,up_to_date.3,"Require all registrations to be updated twice a year, on fixed and pre-determined dates.",Securing up-to-date information
ALTER_EU,up_to_date.4,Lobby consultancies and law firms should provide an up-to-date list of clients from the previous six-month period twice a year.,Securing up-to-date information
ALTER_EU,up_to_date.5,New clients should be declared within one month after the start of the contract.,Securing up-to-date information
ALTER_EU,firm_clients.1,Conduct regular checks on registrations and enforce against incomplete client lists and unrecognisable/ambiguous client-name abbreviations.,Lobby firms' clients
ALTER_EU,firm_clients.2,Consultancies and law firms that fail to disclose clients should be suspended from the register and have their Parliamentary passes withdrawn.,Lobby firms' clients
ALTER_EU,firm_clients.3,"Reject any ad-hoc, derogative or exceptional formula for category I (law firms and lobby consultancies) entities claiming a need for client confidentiality; law firms providing lobbying services should be subject to the same transparency requirements as any other actor involved in lobbying.",Lobby firms' clients
