paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
focal_2024	scope.1	The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees	Scope: The scope of what is included and excluded from the register	checklist	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 2. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): N=only consultant lobbyists; P=other exclusions."	"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:951)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	Single Table 3 row but enumerates 9 lobbyist types; FOCAL treats it as one indicator (Table 3 row count totals 50). Could be atomized into 9 sub-items. // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
focal_2024	scope.2	There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration	Scope: The scope of what is included and excluded from the register	threshold	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 3. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): P=only remunerated lobbying included; N=significant financial or time thresholds."	"There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:954)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	"Paper acknowledges subjectivity; ""low"" is undefined in this conceptual iteration. // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv."
focal_2024	scope.3	The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy	Scope: The scope of what is included and excluded from the register	checklist	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 3. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): P=staff excluded; N=major branches excluded."	"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:955)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	"Single row enumerates 8 target types; treated as one indicator. Paper notes ""some of these may be context dependent, for instance the target of lobbying may vary depending on the form of government (eg, a Westminster vs Presidential system)"". // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv."
focal_2024	scope.4	A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails	Scope: The scope of what is included and excluded from the register	checklist	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 1. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): P=limited to influencing legislative changes; N=face-to-face only."	"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:957)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	eg indicates examples not exhaustive list. // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
focal_2024	timeliness.1	Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)	Timeliness: The frequency of lobbying disclosures	frequency	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 3. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): P=within two weeks. NOTE: 2025 application MERGED 2024 timeliness.1 + timeliness.2 into a single indicator (paper line 202-204). Both rows of this TSV share the merged 2025 weight."	"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:961)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	Paper situates timeliness as assessable via legislation, not just register. // Lacy-Nichols 2025 MERGED this with timeliness.2 into a single indicator. See focal_2025_lacy_nichols_per_country_scores.csv for merged scores under indicator_id 'timeliness.1' (2025 numbering). // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
focal_2024	timeliness.2	Lobbying activities are disclosed close to real time (eg, daily)	Timeliness: The frequency of lobbying disclosures	frequency	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 3. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): P=within two weeks. NOTE: 2025 application MERGED 2024 timeliness.1 + timeliness.2 into a single indicator (paper line 202-204). Both rows of this TSV share the merged 2025 weight."	"Lobbying activities are disclosed close to real time (eg, daily) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:962)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	 // Lacy-Nichols 2025 MERGED this with timeliness.1 — no separate 2025 cell values exist for this row. The merged 2025 'timeliness.1' covers both. // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
focal_2024	timeliness.3	Ministerial diaries are disclosed monthly (or more frequently)	Timeliness: The frequency of lobbying disclosures	frequency	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 1. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Suppl Table 3 gives no explicit P/N notes for this indicator."	"Ministerial diaries are disclosed monthly (or more frequently) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:963)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	 // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
focal_2024	openness.1	Lobbyist register is online	Openness: How easy it is to find and use information in the register	boolean	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 2. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): P=optional registration or separate websites."	"Lobbyist register is online (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:967)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	 // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
focal_2024	openness.2	Diaries available online (eg, lobbyists, ministers, ministerial staff)	Openness: How easy it is to find and use information in the register	boolean	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 1. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Suppl Table 3 gives no explicit P/N notes for this indicator."	"Diaries available online (eg, lobbyists, ministers, ministerial staff) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:968)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	 // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
focal_2024	openness.3	Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable	Openness: How easy it is to find and use information in the register	checklist	"Verbatim ""Our weights"" from Suppl File 1 Table 4: 3. Base scoring rule (main text line 195-196): yes=2, partly=1, no=0; cell value = base × weight. Verbatim P/N criteria (Suppl Table 3): P=proprietary format (e.g. excel); N=not machine readable."	"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:969)  ||  ""creating a set of notes to assign a value of yes, no, or partly for each of the indicators, weighted two, one, and zero, respectively (Supplementary File 1 Table 3)"" (papers/text/Lacy_Nichols_2025__lobbying_in_the_shadows.txt:195-196)"	Single row bundles 5 sub-criteria (no registration / free / open license / non-proprietary / machine readable). // Lacy-Nichols 2025 application: scoring rule yes=2, partly=1, no=0 × per-indicator weight (see scoring_rule). US row total = 81/182 = 45% (Figure 3). Per-country values in focal_2025_lacy_nichols_per_country_scores.csv.
