paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
council_europe_2017	def_a	"lobbying" means promoting specific interests by communication with a public official as part of a structured and organised action aimed at influencing public decision making.	Definitions	open		"a. \"lobbying\" means promoting specific interests by communication with a public official as part of a structured and organised action aimed at influencing public decision making (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:161-163)"	Definitional, not a regulatory item; sets scope.
council_europe_2017	def_b	"lobbyist" means any natural or legal person who engages in lobbying.	Definitions	open		"b. \"lobbyist\" means any natural or legal person who engages in lobbying (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:165)"	Definitional; covers paid and unpaid, private and public-interest.
council_europe_2017	def_c	"public decision making" means decision making within the legislative and executive branches, whether at national, regional or local level.	Definitions	open		"c. \"public decision making\" means decision making within the legislative and executive branches, whether at national, regional or local level (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:167-168)"	Definitional; multi-level scope.
council_europe_2017	def_d	"public official" means any person exercising a public function, whether elected, employed or otherwise, in the legislative or executive branches.	Definitions	open		"d. \"public official\" means any person exercising a public function, whether elected, employed or otherwise, in the legislative or executive branches (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:170-171)"	Definitional; broad coverage including advisors per para 19.
council_europe_2017	def_e	"legal regulation" means statutory regulation, a system of self-regulation or a combination of both.	Definitions	open		"e. \"legal regulation\" means statutory regulation, a system of self-regulation or a combination of both (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:173-174)"	Definitional; permits hybrid schemes.
council_europe_2017	P1	Legal regulation of lobbying should promote the transparency of lobbying activities.	A. Objective of legal regulation	open		"1. Legal regulation of lobbying should promote the transparency of lobbying activities. (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:178-179)"	The overarching objective principle.
council_europe_2017	P2_a	Consultant lobbyists acting on behalf of a third party should be subject to legal regulation.	B. Activities subject to legal regulation	open		"Lobbying activities in at least the following categories should be subject to legal regulation: a. consultant lobbyists acting on behalf of a third party (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:184-186)"	"At least" wording — minimum coverage standard.
council_europe_2017	P2_b	In-house lobbyists acting on behalf of their employer should be subject to legal regulation.	B. Activities subject to legal regulation	open		"b. in-house lobbyists acting on behalf of their employer (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:187)"
council_europe_2017	P2_c	Organisations or bodies representing professional or other sectoral interests should be subject to legal regulation.	B. Activities subject to legal regulation	open		"c. organisations or bodies representing professional or other sectoral interests (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:188-189)"	Includes trade unions, employers' orgs, NGOs, civil society per para 26.c.
council_europe_2017	P3	Exemptions to legal regulations on lobbying should be clearly defined and justified.	B. Activities subject to legal regulation	open		"3. Exemptions to legal regulations on lobbying should be clearly defined and justified. (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:190-191)"	Constraint on scope-narrowing exemptions.
council_europe_2017	P4_a	Legal regulation of lobbying should not infringe the right of individuals to express their opinions and petition public officials, bodies and institutions, whether individually or collectively.	C. Freedom of expression, political activities and participation in public life	open		"a. express their opinions and petition public officials, bodies and institutions, whether individually or collectively (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:197-198)"	Rights-protective constraint on regulatory design.
council_europe_2017	P4_b	Legal regulation of lobbying should not infringe the right of individuals to campaign for political change and change in legislation, policy or practice within the framework of legitimate political activities, individually or collectively.	C. Freedom of expression, political activities and participation in public life	open		"b. campaign for political change and change in legislation, policy or practice within the framework of legitimate political activities, individually or collectively (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:199-201)"
council_europe_2017	P5	Information on lobbying activities in the context of public decision-making processes should be disclosed.	D. Transparency	open		"5. Information on lobbying activities in the context of public decision-making processes should be disclosed. (papers/text/CouncilEurope_2017__lobbying_legal_regulation.txt:204-205)"	Mode of disclosure left to member State (legislative footprint, open diaries, register, etc.).
