paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
lapira_thomas_2014	rd.covered_official_status_lda	"Covered official" status as defined by LDA (lobbyist reports any federal government employment in the preceding 20 years)	Statutory revolving-door measure (LDA self-report)	boolean	"hiring 'covered official' lobbyists – those included in the Lobbying Disclosure Act's (LDA) statutory requirement that registered lobbyists report any federal government employment in the preceding 20 years"	"hiring 'covered ofﬁcial' lobbyists – those included in the Lobbying Disclosure Act's (LDA) statutory requirement that registered lobbyists report any federal government employment in the preceding 20 years" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:165-168]	The statutory baseline against which the authors define their measurement contribution. Federal-only (LDA scope). Authors show this is severely under-reported: only 29.7% of their sample self-reported, vs. 51.7% verified — the "transparency loophole" the paper exposes.
lapira_thomas_2014	rd.verified_government_employment	Lobbyist's previous federal government employment, verified from biographical sources beyond LDA self-report	Authors' constructed revolving-door measure	boolean	"coded as a dummy variable if we verified any previous government experience"	"Table 4 compares lobbyist type and advocacy specializations between conventional and revolving door lobbyists, coded as a dummy variable if we veriﬁed any previous government experience" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:687-689]	Core construct of the paper. Coded 1 if any previous federal government employment was verified via the multi-source search (SOPR, CRP, CQ First Street, Lobbyists.info, LegiStorm, Martindale-Hubbell, LinkedIn, firm websites, etc.) — not just LDA self-report. 51.7% of N=1614 in their sample.
lapira_thomas_2014	rd.num_government_positions	Number of federal government jobs held by the lobbyist	Authors' constructed revolving-door measure	count	Sum of distinct federal employing offices identified in biographical search.	"The 834 revolving door lobbyists in our sample held a total of 1495 federal jobs. These individuals held an average of 1.8 (SD=1.1) jobs ... Nearly half – 47.5 per cent – held more than one federal job" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:533-537]	One of the model predictors. Coefficient 0.058** (Model 1) and 0.037* (Model 2) on clientele diversity. Authors argue raw counts of "covered official" undercount because LDA only requires reporting one prior position; nearly half their RD sample held multiple positions.
lapira_thomas_2014	rd.former_member_congress	Lobbyist was a former elected member of Congress	Branch / position type within revolving door	boolean	1 if lobbyist served as elected member of Congress; 0 otherwise.	"there are only 12 former members in the lobbyist sample, so there is insufﬁcient variation in their clientele diversity and the standard error is high by comparison" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:891-892]	Model predictor. Distinguished from staff because of normative concerns and because they are media salient but rare (12 of 1614 = 0.74%). Null effect on clientele diversity but authors caution this reflects rarity not lack of effect.
lapira_thomas_2014	rd.congressional_staff	Lobbyist worked as congressional staff (House or Senate, personal/committee/leadership office)	Branch / position type within revolving door	boolean	1 if lobbyist worked in Congress in any non-member capacity (personal office, committee, or leadership).	"the most common type of revolving door lobbyists are those who worked for a House member, although a signiﬁcant portion worked in multiple jobs and in more signiﬁcant positions on and off Capitol Hill" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:644-647]	75% of revolving-door lobbyists in sample worked in Congress (623/834). Underlies the staff-hierarchy scale below.
lapira_thomas_2014	rd.staff_hierarchy_scale	Congressional staff hierarchy scale (climbing the ladder from member's personal office only to member+committee+leadership)	Position seniority within Congress	ordinal	Scale: 1=unknown/leg-support; 2=member personal-office only; 3=committee only; 4=member+committee; 5=leadership only; 6=committee+leadership; 7=member+committee+leadership.	"we constructed a scale variable that ranges from the relatively low level of cases of staffers whose employers were unidentiﬁable or were in a legislative support service agency to a high level where an individual staffer held jobs in member, committee and party leadership ofﬁces" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:634-637]	Model predictor (b=0.020*, Model 1). The headline finding: well-connected congressional staffers have more economically diverse clienteles, consistent with the access-peddling view. 7-level scale (Table 3).
lapira_thomas_2014	rd.white_house	Lobbyist worked in the White House (executive office of the President)	Branch / position type within revolving door	boolean	1 if lobbyist held a White House position; 0 otherwise.	"Former White House employees were 55 per cent Republican and 34 per cent Democrat, which makes sense as our sample was drawn in the eighth year of the George W. Bush administration" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:589-591]	Model predictor; null effect on clientele diversity. 87 of 834 RD lobbyists. Distinguished from federal bureaucracy because political appointees rather than career civil servants.
lapira_thomas_2014	rd.bureaucracy	Lobbyist worked in a federal bureaucracy / executive-branch agency	Branch / position type within revolving door	boolean	1 if lobbyist worked in a federal bureaucracy (career civil service or non-WH political appointee).	"executive branch bureaucrats-turned-lobbyists retain a more economically concentrated clientele than other lobbyists" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:848-849]	Model predictor. 223 of 834 RD lobbyists. Negative coefficient (-0.083 in Model 1; not significant in Model 2): bureaucrats-turned-lobbyists retain MORE concentrated clienteles, consistent with industry-specific expertise rather than access-peddling.
lapira_thomas_2014	rd.judiciary	Lobbyist worked in the federal judiciary	Branch / position type within revolving door	boolean	1 if lobbyist held a federal judicial-branch position; 0 otherwise.	"Typically, these jobs were as judicial clerks, which does not match the intuitive deﬁnition of the revolving door. We report them here, but exclude them from subsequent analyses." [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:1096-1097]	Reported descriptively (28 of 834) but excluded from regression analyses (typically clerkships, do not match intuitive RD definition).
lapira_thomas_2014	rd.partisan_affiliation_of_employer	Political party of the lobbyist's former government employer (Democrat / Nonpartisan-Unknown / Republican)	Branch / position type within revolving door	categorical	Coded by party of the office-holder for whom the lobbyist worked.	"We code lobbyists' former employers' political party as Democrat, Nonpartisan/Unknown or Republican" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:585-586]	Used as a face-validity check, not as a regression predictor. Patterns: Congress 43% Dem / 43% Rep; White House 34% Dem / 55% Rep (sample drawn in 8th year of Bush admin); bureaucracy/judiciary mostly nonpartisan.
lapira_thomas_2014	occ.contract_lobbyist	Contract lobbyist (vs. in-house government-relations staff)	Lobbyist occupation (control / labor-market characteristic)	boolean	"0 = in-house lobbyist and 1 = contract lobbyist" — coded from CRP lobbying database.	"we identiﬁed contract lobbyists in CRP's lobbying database and coded 0=in-house lobbyist and 1=contract lobbyist. Revolving door lobbyists are more likely to work as hired consultants than conventional lobbyists by a ratio of nearly 2:1." [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:690-693]	Control variable. Strongest single predictor of clientele diversity in Model 1 (b=0.550**). RD lobbyists 50% contract vs. 30% for conventional (Table 4). Used as left-censoring criterion in Model 2.
lapira_thomas_2014	occ.general_interest_firm	Lobbyist works at a large general-interest firm (vs. boutique / special-interest firm)	Lobbyist occupation (control / labor-market characteristic)	boolean	"0 = small, special-interest boutique firms ... 1 = general interest firms"; coded from firm websites, CRP "Top Lobbying Firms" list, Lobbyists.info, Lexis-Nexis Martindale-Hubbell.	"we distinguish between small, special-interest boutique ﬁrms that explicitly promote themselves as focusing on one or a few industries or issues = 0 and general interest ﬁrms = 1" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:693-695]	Control variable. Subset of contract lobbyists. RD = 85% / conventional = 84% (no significant difference). Coefficient 0.107* in Model 1.
lapira_thomas_2014	spec.legislative_policy	Advocacy specialization: legislative policy and process	Advocacy specialization (control)	boolean	1 if lobbyist focuses on policy issues in Congress.	"we code lobbyists as legislative policy and process experts = 1 if they focus on policy issues in Congress. Empirically, this specialization is extremely common; 87 per cent of the sample specializes in legislative lobbying" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:706-708]	Control. Near-universal (87%) so weak discriminator. Null effect in regression.
lapira_thomas_2014	spec.appropriations_earmarks	Advocacy specialization: federal budget and appropriations / earmarks	Advocacy specialization (control)	boolean	"coded as 1 if they reported lobbying on 'Federal Budget and Appropriations' for any client in any quarter in 2008"	"funding earmark specialists – coded as 1 if they reported lobbying on 'Federal Budget and Appropriations' for any client in any quarter in 2008 – we ﬁnd that revolving door lobbyists differ from their conventional counterparts. Revolving door lobbyists are 27 per cent more likely to do appropriations lobbying" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:715-718]	Control variable; one of the most diagnostic. RD = 48% / conventional = 38% (z=4.26*). Coefficient 0.184** in Model 1: appropriations lobbying strongly predicts clientele diversity, consistent with access-peddling.
lapira_thomas_2014	spec.regulatory_legal	Advocacy specialization: regulatory / legal advocacy	Advocacy specialization (control)	boolean	1 if lobbyist specializes in legal and regulatory matters (amicus briefs, notice-and-comment letters, etc.).	"preparing highly technical amicus briefs or notice-and-comment letters for proposed regulations requires a greater deal of speciﬁc legal and policy expertise than run-of-the-mill legislative monitoring or appropriations earmarking" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:326-329]	Control. RD = 30% / conventional = 31% (no significant difference). Negative coefficient (-0.053*, Model 1): regulatory specialists have MORE concentrated clienteles, consistent with industry-specific expertise.
lapira_thomas_2014	dv.num_clients	Number of LDA clients per lobbyist	Dependent / outcome (clientele characterization)	count	Count of distinct clients reported on LD-2 reports for the lobbyist in 2008.	"Lobbyists in our sample represented just over four clients from two economic sectors on average in 2008" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:732-734]	Input to clientele-diversity construction. Mean 4.2, SD 8.1, range 1-93 (Table 5). Counted from 51,475 quarterly LD-2 reports in 2008.
lapira_thomas_2014	dv.num_sectors	Number of distinct CRP economic sectors represented in lobbyist's client portfolio	Dependent / outcome (clientele characterization)	count	Count of distinct sectors among lobbyist's clients (CRP codes clients into 13 economic sectors).	"CRP codes all lobbying clients by their primary economic mission into 13-sector categories such as agribusiness, transportation, health and ﬁnancial services" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:727-729]	Input to clientele-diversity construction. Mean 2.1, SD 2.2, range 1-13 (Table 5). Sectors are CRP's 13-category economic-mission classification of registered clients.
lapira_thomas_2014	dv.clientele_diversity	Clientele diversity (normalized Shannon's H entropy across the 13 CRP economic sectors of a lobbyist's clients)	Dependent / outcome (clientele characterization)	numeric	Normalized Shannon's H: -sum p(xi)*ln p(xi) / ln(N), where p(xi) is proportion of clients from sector i and N is total sectors.	"we calculate a normalized Shannon's H entropy score as a universal measure for clientele economic sector diversity" [papers/text/LaPira_Thomas_2014__revolving_door_lobbyists.txt:765-766]	The paper's headline outcome variable. Theoretical low ≈ 0 (single sector), high ≈ 1 (uniform across all 13 sectors). Mean 0.13, SD 0.22, range ~0 to 0.88 (Table 5). Treated as left-censored in Tobit/censored-regression models. Empirical inference: low diversity = expertise-driven; high diversity = access-driven.
