paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
ti_2016	criterion.1	Data must be accessible: free to use and reuse, published in a timely manner and easily found.	OPEN-DATA CRITERIA	criterion	Not scored numerically; applied as evaluation lens	"accessible: it must be free to use and reuse, published in a timely manner and easily found" papers/text/TI_2016__open_data_eu_lobbying.txt:67	One of four open-data criteria; footnote 4 attributes them to Transparency International UK.
ti_2016	criterion.2	Data must be accurate: complete and reflective of reality.	OPEN-DATA CRITERIA	criterion	Not scored numerically; applied as evaluation lens	"accurate: it must be complete and reflective of reality" papers/text/TI_2016__open_data_eu_lobbying.txt:68	Criterion attributed to TI-UK (footnote 4).
ti_2016	criterion.3	Data must be intelligible: structured in a way that can be analysed (e.g. clear and consistent columns, values and formats).	OPEN-DATA CRITERIA	criterion	Not scored numerically; applied as evaluation lens	"intelligible: it must be structured in a way that can be analysed (e.g. clear and consistent columns, values and formats)" papers/text/TI_2016__open_data_eu_lobbying.txt:69-70	Criterion attributed to TI-UK (footnote 4).
ti_2016	criterion.4	Data must be meaningful: useful for the user.	OPEN-DATA CRITERIA	criterion	Not scored numerically; applied as evaluation lens	"meaningful: it must be useful for the user" papers/text/TI_2016__open_data_eu_lobbying.txt:71	Criterion attributed to TI-UK (footnote 4).
ti_2016	avail.mep.1	MEP declarations must include occupation or membership of the parliamentarian.	DATA AVAILABILITY > MEPs' Financial Interests	disclosure field	Field presence assessed against published declarations	"Occupation or membership" papers/text/TI_2016__open_data_eu_lobbying.txt:243	Table 1 enumerates fields TI assessed for MEPs' declaration of financial interests; supervised by Advisory Committee on the Code of Conduct.
ti_2016	avail.mep.2	MEP declarations must include other mandates held by the parliamentarian.	DATA AVAILABILITY > MEPs' Financial Interests	disclosure field	Field presence assessed against published declarations	"Other mandates" papers/text/TI_2016__open_data_eu_lobbying.txt:245	Table 1 field.
ti_2016	avail.mep.3	MEP declarations must include membership or activity of the parliamentarian.	DATA AVAILABILITY > MEPs' Financial Interests	disclosure field	Field presence assessed against published declarations	"Membership or activity" papers/text/TI_2016__open_data_eu_lobbying.txt:247	Table 1 field.
ti_2016	avail.mep.4	MEP declarations must include occasional activity if total remuneration exceeds €5,000 in a calendar year.	DATA AVAILABILITY > MEPs' Financial Interests	disclosure field with threshold	Field presence assessed against published declarations; €5,000 annual threshold	"Occasional activity if total remuneration exceeds €5,000 in a calendar year" papers/text/TI_2016__open_data_eu_lobbying.txt:249-251	Table 1 field; only one with an explicit financial threshold.
ti_2016	avail.mep.5	MEP declarations must include holdings or partnerships with potential public policy implications.	DATA AVAILABILITY > MEPs' Financial Interests	disclosure field	Field presence assessed against published declarations	"Holding or partnership with potential public policy implications" papers/text/TI_2016__open_data_eu_lobbying.txt:253-254	Table 1 field.
ti_2016	avail.mep.6	MEP declarations must include other financial interests of the parliamentarian.	DATA AVAILABILITY > MEPs' Financial Interests	disclosure field	Field presence assessed against published declarations	"Other financial interests" papers/text/TI_2016__open_data_eu_lobbying.txt:255	Table 1 field.
ti_2016	avail.tr.1	Transparency Register entry must include registrant's key characteristics (e.g. address of headquarter and Brussels office, names of people with legal responsibility, name of person in charge for EU affairs).	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Registrants' key characteristics (e.g. address of headquarter and Brussels office, names of people with legal responsibility, name of person in charge for EU affairs)" papers/text/TI_2016__open_data_eu_lobbying.txt:256-259	Table 1 field for the EU Joint Transparency Register (registrants are organisations).
ti_2016	avail.tr.2	Transparency Register entry must include goals/remit of lobbying activities.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Goals/remit of lobbying activities" papers/text/TI_2016__open_data_eu_lobbying.txt:260	Table 1 field.
ti_2016	avail.tr.3	Transparency Register entry must include specific activities and EU initiatives covered by the register.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Specific activities and EU initiatives covered by the register" papers/text/TI_2016__open_data_eu_lobbying.txt:262-263	Table 1 field.
ti_2016	avail.tr.4	Transparency Register entry must include number of persons and full-time equivalents involved in the lobbying activities.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Number of persons and full-time equivalents involved in the activities" papers/text/TI_2016__open_data_eu_lobbying.txt:264-265	Table 1 field.
ti_2016	avail.tr.5	Transparency Register entry must include names of persons accredited for access to EP premises.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Name of persons accredited for access to EP premises" papers/text/TI_2016__open_data_eu_lobbying.txt:266-267	Table 1 field.
ti_2016	avail.tr.6	Transparency Register entry must include membership and affiliation of the registrant.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Membership and affiliation" papers/text/TI_2016__open_data_eu_lobbying.txt:268	Table 1 field.
ti_2016	avail.tr.7	Transparency Register entry must include estimated lobby expenses of the registrant.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Estimated lobby expenses" papers/text/TI_2016__open_data_eu_lobbying.txt:269	Table 1 field.
ti_2016	avail.tr.8	Transparency Register entry must include grants received from EU institutions by the registrant.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Grants received from EU institutions" papers/text/TI_2016__open_data_eu_lobbying.txt:270	Table 1 field.
ti_2016	avail.tr.9	Transparency Register entry must include financial data on the registrant.	DATA AVAILABILITY > Transparency Register	disclosure field	Field presence assessed against published register	"Financial data" papers/text/TI_2016__open_data_eu_lobbying.txt:271	Table 1 field; left as a generic catch-all in TI's table.
ti_2016	avail.mtg.1	Lobby meeting record must include the date of the meeting.	DATA AVAILABILITY > Lobby Meetings	disclosure field	Field presence assessed against published meeting registers	"Date" papers/text/TI_2016__open_data_eu_lobbying.txt:272	Table 1 field for EC senior officials' lobby meetings (declared on each commissioner/cabinet/DG website).
ti_2016	avail.mtg.2	Lobby meeting record must include the location of the meeting.	DATA AVAILABILITY > Lobby Meetings	disclosure field	Field presence assessed against published meeting registers	"Location" papers/text/TI_2016__open_data_eu_lobbying.txt:274	Table 1 field.
ti_2016	avail.mtg.3	Lobby meeting record must include the entity or entities met.	DATA AVAILABILITY > Lobby Meetings	disclosure field	Field presence assessed against published meeting registers	"Entity/ies met" papers/text/TI_2016__open_data_eu_lobbying.txt:276	Table 1 field.
ti_2016	avail.mtg.4	Lobby meeting record must include the subject(s) of the meeting.	DATA AVAILABILITY > Lobby Meetings	disclosure field	Field presence assessed against published meeting registers	"Subject(s) of the meeting" papers/text/TI_2016__open_data_eu_lobbying.txt:278	Table 1 field.
ti_2016	qual.mep.openness	MEP financial-interest declarations should be downloadable in a central, open, machine-readable format on a single hub, rather than scattered as PDFs on 751 separate MEP web pages.	DATA QUALITY > MEPs' Financial Interests > Level of Openness	openness assessment	Three-level rating (good/average/poor); MEP declarations rated POOR	"Poor … Scattered over 751 different PDFs on MEPs' web pages … PDF format (but at least no longer as scanned documents) … Not downloadable in a central, open, machine-readable format" papers/text/TI_2016__open_data_eu_lobbying.txt:305-321	Table 2 row; "individual chapters' determinations" supplied the rating (footnote 14).
ti_2016	qual.mep.dataquality	MEP financial-interest declarations should have good scope, up-to-date information, standardised entries (consistent languages and formats), and reliable completeness/accuracy.	DATA QUALITY > MEPs' Financial Interests > Data Quality	data-quality assessment	Three-level rating (good/average/poor); MEP declarations rated AVERAGE	"Average … Good scope … Not always up-to-date information … Lack of standardisation of entries (i.e. languages) and format … Unreliable quality of entries (lack of completeness, accuracy)" papers/text/TI_2016__open_data_eu_lobbying.txt:305-321	Table 2 row.
ti_2016	qual.mep.improve	MEP declaration improvements: increase data quality and degree of detail; publish in open-data format; publish on a centralised data hub; make information searchable and rankable.	DATA QUALITY > MEPs' Financial Interests > Areas for Improvement	improvement recommendation	Not scored; remediation list	"Increase data quality and degree of detail … Publish information in open-data format … Publish data on a centralised data hub … Make information searchable and rankable" papers/text/TI_2016__open_data_eu_lobbying.txt:305-321	Table 2 column.
ti_2016	qual.tr.openness	Transparency Register should sit on one central hub linked to the EU data portal, downloadable in XLS/HTML format, with retrievable up-to-date version.	DATA QUALITY > Transparency Register > Level of Openness	openness assessment	Three-level rating (good/average/poor); Transparency Register rated GOOD	"Good … One central hub … Linked to the EU data portal … Can be downloaded in XLS / HTML format … Up-to-date data version can be retrieved" papers/text/TI_2016__open_data_eu_lobbying.txt:323-339	Table 2 row; the Register is the only dataset with "good" openness.
ti_2016	qual.tr.dataquality	Transparency Register should have good scope (wide range of indicators), strong standardisation across languages/free-text categories, and high quality of entries (avoiding incomplete, inaccurate, misleading or incorrect entries).	DATA QUALITY > Transparency Register > Data Quality	data-quality assessment	Three-level rating (good/average/poor); Transparency Register rated AVERAGE	"Average … Good scope (wide range of indicators) … Mediocre standardisation (i.e. languages, free text categories) … Poor quality of entries (incomplete, inaccurate, misleading and incorrect entries)" papers/text/TI_2016__open_data_eu_lobbying.txt:323-339	Table 2 row.
ti_2016	qual.tr.improve	Transparency Register improvements: include systematic checks of entries; improve registration form to include basic plausibility checks; allow for rankings and better data visualisation; better integrate other databases (e.g. lobby meetings, expert group register).	DATA QUALITY > Transparency Register > Areas for Improvement	improvement recommendation	Not scored; remediation list	"Increase data quality by including systematic checks of entries … Improve the functionality of the registration form to include basic plausibility checks of entries … Allow for rankings and better data visualisation … Better integrate other databases, such as lobby meetings and the expert group register" papers/text/TI_2016__open_data_eu_lobbying.txt:323-339	Table 2 column.
ti_2016	qual.mtg.openness	Lobby meetings should be downloadable in an open, machine-readable format from a centralised hub, not scattered across 98 different web sites.	DATA QUALITY > Lobby Meetings > Level of Openness	openness assessment	Three-level rating (good/average/poor); Lobby meetings rated POOR	"Poor … Scattered over 98 different web sites … Not downloadable in an open, machine-readable format" papers/text/TI_2016__open_data_eu_lobbying.txt:341-353	Table 2 row; supports the FOCAL "98 different websites" claim.
