paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
hogan_murphy_chari_2008	typology.regulatory_environment	Three-fold ideal-type classification of regulatory environments (low / medium / high)	Comparative typology (referenced from Chari et al. 2007)	categorical	Jurisdictions classified into one of three ideal types — low, medium, or high — by applying the Center for Public Integrity (CPI) Hired Guns index to all jurisdictions with lobbying legislation; the typology is invoked but not re-derived in this article.	"Chari et al., (2007, 424‐28) took the process a step further by applying the Center for Public Integrity's (CPI's) index for analyzing lobbying legislation in America, to all jurisdictions with lobbying legislation. The results present a comparative analysis of lobbying regulations in a national/international context. A sliding scale of international legislative rigour was provided, and a classification scheme for regulatory regimes developed. This scheme consists of three ideal types of regulatory environment ‐ low, medium, and high. Each of these ideal types constituted a broad church, capturing the essence of a range of cases, without encapsulating all the characteristics of any particular case." [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:159-167]	NOT a per-item rubric in this article. The 2008 CPSR article applies (does not construct) the CPI-based comparative index from Chari, Murphy & Hogan (2007) Political Quarterly 78(3):422-438. The 2008 article's own primary instrument is an attitudinal survey (Q6-Q14, Appendix A); items below are the survey questions, which probe specific regulatory dimensions but do not score statutes.
hogan_murphy_chari_2008	survey.q6.reasons_for_absence	Main reason for absence of lobbying legislation: (i) political actors opposed; (ii) lobby groups opposed; (iii) self-regulation considered sufficient; (iv) lobbying activity is minimal; (v) other	Q6 — Reasons for absence of regulation	categorical (single-select)	Five-option closed response with free-text "Other" capture; tabulated as percentages by actor type (politicians / administrators / lobbyists) in Table 1.	"6. As you know, in your province there is no legislation regulating lobbying activity. In your view, what is the main reason for this lack of legislation (please tick): i Political actors are opposed to it. ii Lobby groups are opposed to it. iii 'Self‐regulation' is considered sufficient. iv There is no need to have legislation because lobbying activity is minimal v Other (please specify)" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1005-1025]	Attitudinal — diagnostic of *why* a jurisdiction has no rules; not a statute-coding item.
hogan_murphy_chari_2008	survey.q7.registration_required	Lobbyists should be required to register when lobbying public officials	Q7 — Registration	5-point Likert (Strongly Agree / Agree / Neutral / Disagree / Strongly Disagree)	Likert response, tabulated as percentages by actor type in Table 2.	"7. Lobbyists should be required to register when lobbying public officials. Strongly agree Agree Neutral Disagree Strongly Disagree" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1027-1028]	Maps to the CPI/Chari-2007 dimension "registration." Probes attitude toward, not presence of, this rule.
hogan_murphy_chari_2008	survey.q8.spending_report_frequency	A lobbyist should be required to file spending reports at the following intervals in order to ensure transparency: weekly / monthly / quarterly / bi-annually / annually / never	Q8 — Spending-report frequency	categorical (single-select, ordered)	Six-option ordered response capturing required filing periodicity.	"8. A lobbyist should be required to file spending reports at the following intervals in order to ensure transparency: i.) Weekly ii.) Monthly iii.) Quarterly iv.) Bi‐annually v.) Annually vi.) Never" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1030-1041]	Maps to CPI/Chari-2007 disclosure-frequency dimension. The article reports findings narratively (no separate table); "all three groups largely felt lobbyists should have to file spending reports at least annually."
hogan_murphy_chari_2008	survey.q9.campaign_contributions_public	Details of all political party campaign contributions by a lobbyist should be available to the public	Q9 — Campaign-contribution disclosure	5-point Likert	Likert response.	"9. Details of all political party campaign contributions by a lobbyist should be available to the public. Strongly agree Agree Neutral Disagree Strongly Disagree" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1042-1043]	Maps to disclosure of political-contribution dimension; reported narratively.
hogan_murphy_chari_2008	survey.q10.public_list_modality	A list of all lobbyists (and the amount they have spent on their lobbying activity) should be freely available to the public: (i) by law, at all times (e.g. centralized website); (ii) by law, upon request to state or lobby group; (iii) on a voluntary basis as the state or lobby group sees appropriate; (iv) never	Q10 — Public list modality	categorical (single-select, ordered by stringency)	Four-option response, ordered from strongest mandate to no list; tabulated as percentages in Table 3.	"10. A list of all lobbyists (and the amount they have spent on their lobbying activity) should be freely available to the public: i.) By law, at all times, for example on a centralized web‐site ii.) By law, upon request to the state or a lobby group iii.) On a voluntary basis as the state or lobby group sees appropriate iv.) Never" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1045-1054]	Most explicitly statute-relevant survey item: probes both whether information should be public and how (online vs. on request vs. voluntary).
hogan_murphy_chari_2008	survey.q11.register_inhibits_citizens	A register of lobbyists makes ordinary citizens feel inhibited from approaching their local representatives alone	Q11 — Register's effect on citizen access	5-point Likert	Likert response, tabulated in Table 4.	"11. In your view, a register of lobbyists makes ordinary citizens feel inhibited from approaching their local representatives alone Strongly agree Agree Neutral Disagree Strongly Disagree" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1055-1057]	Tests the Nolan Committee / Brinig et al. "barrier-to-entry" hypothesis. Not a statute-coding item.
hogan_murphy_chari_2008	survey.q12.independent_audit_authority	Should an independent agency have the power to pursue mandatory reviews or audits of lobbyists? (i) always; (ii) only when deemed necessary by the independent agency; (iii) never	Q12 — Audit authority	categorical (single-select, ordered)	Three-option ordered response, tabulated in Table 5.	"12. Should an independent agency have the power to pursue mandatory reviews or audits of lobbyists? i.) Always ii.) Only when it is deemed necessary by the independent agency. iii.) Never" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1059-1065]	Maps to enforcement/oversight dimension. Probes attitude toward audit authority of the independent registrar.
hogan_murphy_chari_2008	survey.q13.penalties_deter	Penalizing unprofessional lobbying behavior (such as excessive campaign contributions or incomplete filing of reports) acts as a deterrent against such behavior	Q13 — Penalties as deterrent	5-point Likert	Likert response, tabulated in Table 6.	"13. Penalizing unprofessional lobbying behavior (such as excessive campaign contributions or incomplete filing of reports) acts as a deterrent against such behavior. Strongly agree Agree Neutral Disagree Strongly Disagree" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1066-1068]	Maps to penalties dimension. Article defines penalisation as "the standard form of penalties found in Canada, the US, Hungary or Poland, which can involve fines in the tens of thousands of dollars, and, in extreme cases, up to five years imprisonment." [lines 693-695]
hogan_murphy_chari_2008	survey.q14.regulation_improves_TAE	If legislation regulating lobbying activity were implemented, then transparency, accountability and effectiveness in public policy-making would be improved	Q14 — Outcome belief (transparency / accountability / effectiveness)	5-point Likert	Likert response, tabulated in Table 7.	"14. If legislation regulating lobbying activity were implemented, then transparency, accountability and effectiveness in public policy‐making would be improved. Strongly agree Agree Neutral Disagree Strongly Disagree" [papers/text/Hogan_Murphy_Chari_2008__regulating_lobbying_globally.txt:1070-1080]	The summary item testing the central deliberative-democratic hypothesis. Not a statute-coding item.
