paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
carnstone_2020	carnstone_1_1	Responsible lobbying must consider the wider public interest, not only an organisation's needs narrowly defined; it should respect the interests and needs of people, communities and the environment, and lobbyists should be able to present a public interest case for their positions.	LEGITIMACY	open		"Responsible lobbying must consider the wider public interest, not only an organisation's needs narrowly defined." (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:111)	Top-level recommendation 1.1 under Legitimacy principle.
carnstone_2020	carnstone_1_2	Responsible lobbying should support an evidence-based approach to policy making, clearly respecting independent, peer-reviewed science.	LEGITIMACY	open		"Responsible lobbying should support an evidence-based approach to policy making, clearly respecting independent, peer-reviewed science." (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:117)	Top-level recommendation 1.2.
carnstone_2020	carnstone_1_3	Responsible lobbying must respect and not undermine existing public policy / human rights frameworks developed by international agencies, national and/or sub-national governments, and standard-setting bodies.	LEGITIMACY	open		"Responsible lobbying must respect and not undermine existing public policy / human rights frameworks developed by international agencies, national and/or sub-national governments" (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:120)	Top-level recommendation 1.3.
carnstone_2020	carnstone_1_4	Political donations should at best be avoided; if made, they should be fully and transparently disclosed.	LEGITIMACY	open		"Political donations should at best be avoided. If made, they should be fully and transparently disclosed (see Principle 2)." (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:123)	Top-level recommendation 1.4. Cross-references Principle 2 (Transparency).
carnstone_2020	carnstone_1_5	Conflicts of interest should be identified and disclosed with clear policies in place — including credible dispute resolution — to manage them.	LEGITIMACY	open		"Conflicts of interest should be identified and disclosed (see Principle 2) with clear policies in place – including credible dispute resolution – to manage them." (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:126)	Top-level recommendation 1.5. Footnote 2 (lines 144-148) defines conflict of interest.
carnstone_2020	carnstone_1_6	The lobbying organisation should have clear codes of conduct to prevent bribery and corruption in its relations with public officials, including the offering and receiving of gifts, hospitality or other financial and in-kind incentives; codes apply to all in-house and intermediary lobbyists.	LEGITIMACY	open		"The lobbying organisation should have clear codes of conduct to prevent bribery and corruption in its relations with public officials" (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:130)	Top-level recommendation 1.6. Codes apply to in-house and intermediary lobbyists, paid or unpaid.
carnstone_2020	carnstone_1_7	Policies and processes for managing the "revolving door" should be in place, covering the hiring of former politicians and public officials, secondments or placement of staff into public sectors, and cooling-off periods where needed.	LEGITIMACY	open		"Policies and processes for managing the 'revolving door' should be in place, covering the hiring of former politicians and public officials" (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:136)	Top-level recommendation 1.7.
carnstone_2020	carnstone_2_1	Disclose the nature of all direct and intermediary lobbying (paid or unpaid), including: identity of lobbyists engaged; identity of public sector officials engaged; issues addressed; outcomes sought; positions on sub-national, national and international policy frameworks; frequency of engagement; and ultimate beneficiaries.	TRANSPARENCY	open		"The nature of all direct and intermediary lobbying, paid or unpaid, including: a. The identity of direct and intermediary lobbyists engaged" (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:161)	Top-level recommendation 2.1 with seven sub-bullets (a-g) listing required disclosure fields. Kept as one indicator since the framework's atomization treats 2.1 as one item with sub-fields.
carnstone_2020	carnstone_2_2	Disclose the monetary value of: spend on direct lobbying (including spend on intermediary lobbyists, paid or unpaid); spend on third-party organisation memberships (including the lobbying portion); and political donations (including in-kind), consistent with national frameworks.	TRANSPARENCY	open		"The monetary value of: a. Spend on direct lobbying, including spend on intermediary lobbyists, paid or unpaid" (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:178)	Top-level recommendation 2.2 with three sub-bullets (a-c) covering financial spend categories.
carnstone_2020	carnstone_2_3	Disclose any materials shared with public sector recipients as part of lobbying activity, excluding commercially sensitive materials.	TRANSPARENCY	open		"Any materials that were shared with public sector recipients as part of lobbying activity, excluding commercially sensitive materials." (papers/text/Carnstone_2020__responsible_lobbying_framework.txt:189)	Top-level recommendation 2.3.
