paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
somo_2016	aspect.1	Transparency: are the Ministry and banks transparent enough to protect citizens' right to know?	ASSESSMENT ASPECTS (chapter framing)	principle	Descriptive narrative assessment per actor	"Transparency. Are they transparent enough to protect the right to know?" papers/text/SOMO_2016__structural_problem.txt:271	One of five high-level aspects applied throughout the report.
somo_2016	aspect.2	Openness to citizen input: are there sufficient opportunities for citizens to provide input into the financial legislative process to protect their right to be heard?	ASSESSMENT ASPECTS (chapter framing)	principle	Descriptive narrative assessment per actor	"Openness to citizen input. Are there sufficient opportunities for citizens to provide input into the financial legislative process to protect their right to be heard?" papers/text/SOMO_2016__structural_problem.txt:272-273	One of five high-level aspects.
somo_2016	aspect.3	Equality of access: how is bank lobbying organised, does it result in privileged access and undue influence, and is there equality of access for citizens and civil society?	ASSESSMENT ASPECTS (chapter framing)	principle	Descriptive narrative assessment per actor	"Equality of access. How is the bank lobbying organised and does it result in privileged access to legislators and undue influence over the financial legislative process? Is there still equality of access for citizens and civil society that protects the integrity of the democratic process?" papers/text/SOMO_2016__structural_problem.txt:274-276	One of five high-level aspects.
somo_2016	aspect.4	Balance and public interest: how are citizen interests and financial-sector interests weighed, and is the public interest protected?	ASSESSMENT ASPECTS (chapter framing)	principle	Descriptive narrative assessment per actor	"Balance and public interest. How are the interests of citizens and the interests of the financial sector weighed by the Ministry of Finance and the banks? Is it done in a way that protects the public interest?" papers/text/SOMO_2016__structural_problem.txt:282-284	One of five high-level aspects.
somo_2016	aspect.5	Accountability: is there information and debate about ministerial decisions, and how accountable are the banks for their lobbying positions and activities?	ASSESSMENT ASPECTS (chapter framing)	principle	Descriptive narrative assessment per actor	"Accountability. Is there information and debates about decisions made by the Minister of Finance to protect the right to democratic processes? Who makes the final decision in banks on lobbying positions and activities? How accountable are the banks for their lobbying and positions?" papers/text/SOMO_2016__structural_problem.txt:285-288	One of five high-level aspects.
somo_2016	gov.binding.1	Legally binding regulations should be introduced by national law to ensure equity among different stakeholders and citizens.	GOV > Legally binding regulations	prescriptive standard	Presence / absence in national law	"In order to ensure equity among different stakeholders and citizens who want to influence the legislative processes and in order to constantly uphold the standards, legally binding regulations should be introduced by national law." papers/text/SOMO_2016__structural_problem.txt:2879-2881	Cap-stone item: voluntary measures judged insufficient.
somo_2016	gov.binding.2	Creation of a mandatory Transparency Register with a code of conduct.	GOV > Legally binding regulations	prescriptive standard	Mandatory register exists with code of conduct	"the creation of a mandatory Transparency Register with a code of conduct," papers/text/SOMO_2016__structural_problem.txt:2883	Item 1 of 5 enumerated under "Legally binding regulations".
somo_2016	gov.binding.3	Implementation of a comprehensive legislative footprint (lobby paragraaf).	GOV > Legally binding regulations	prescriptive standard	Comprehensive legislative footprint required by law	"the implementation of a comprehensive legislative footprint (lobby paragraaf)," papers/text/SOMO_2016__structural_problem.txt:2884	Item 2 of 5.
somo_2016	gov.binding.4	Establishing guidelines for all civil servants and ministers on dealing with lobbyists.	GOV > Legally binding regulations	prescriptive standard	Binding guidelines exist for civil servants and ministers	"the establishing of guidelines for all civil servants and ministers on dealing with lobbyists," papers/text/SOMO_2016__structural_problem.txt:2885	Item 3 of 5.
somo_2016	gov.binding.5	Transparency about Ministers' official diary.	GOV > Legally binding regulations	prescriptive standard	Ministers' diary is publicly disclosed	"transparency about Ministers' official diary," papers/text/SOMO_2016__structural_problem.txt:2886	Item 4 of 5.
somo_2016	gov.binding.6	Guidance for improving the balanced weighing of different interests with special attention to the public interest and the interests of citizens.	GOV > Legally binding regulations	prescriptive standard	Guidance exists for balanced weighing of interests	"guidance for improving the balanced weighing of different interest with special attention to the public interest and the interests of citizens." papers/text/SOMO_2016__structural_problem.txt:2887-2888	Item 5 of 5.
somo_2016	gov.righttoknow.footprint.1	Mandatory comprehensive legislative footprint included in the Memorie van Toelichting accompanying the official internet consultation, clarifying external inputs received before consultation.	GOV > Be transparent (right to know)	prescriptive standard	Footprint is included in MvT at consultation stage	"Introducing a mandatory and comprehensive 'legislative footprint' that: - is included in the Memorie van Toelichting (explanatory note) which accompanies the official internet consultation and clarifies the external inputs that have been received before the period of official consultation;" papers/text/SOMO_2016__structural_problem.txt:2901-2904	NL-specific instrument (Memorie van Toelichting).
somo_2016	gov.righttoknow.footprint.2	Footprint is comprehensive when sent to Parliament with policy papers / final legislative proposals, covering all formal and informal inputs (not only consultation responses).	GOV > Be transparent (right to know)	prescriptive standard	Final-stage footprint covers formal and informal inputs	"is comprehensive when sent by the Ministry to Parliament with the policy papers and final legislative proposals and includes information about all formal and informal inputs, i.e. not restricted to mentioning the responses to the consultation;" papers/text/SOMO_2016__structural_problem.txt:2905-2907	-
somo_2016	gov.righttoknow.footprint.3	Footprint explains how the Ministry has taken into account all formal and informal interactions and how the range of interests were balanced, including underrepresented interests.	GOV > Be transparent (right to know)	prescriptive standard	Footprint explains weighing and balance of interests	"explains how the Ministry has taken into account (or not) all the formal and informal interaction and inputs it received, and how the range of interests were balanced, including the interests of those who were underrepresented in the consultation process;" papers/text/SOMO_2016__structural_problem.txt:2908-2910	-
somo_2016	gov.righttoknow.footprint.4	Footprint based on renewed legislative drafting guidelines (aanwijzingen) ensuring fullest possible transparency without compromising whistle-blower access.	GOV > Be transparent (right to know)	prescriptive standard	Drafting guidelines updated to require full footprint with whistle-blower protections	"is based on renewed guidelines for legislation (aanwijzingen) that ensure the fullest possible transparency without compromising access to the process for whistle-blowers." papers/text/SOMO_2016__structural_problem.txt:2911-2912	NL-specific drafting instrument (aanwijzingen).
somo_2016	gov.righttoknow.announce.1	Public announcements about legislation as it is being developed (e.g. dedicated webpage with summary, monthly-updated list of external inputs received, links to consultation submissions) — a 'living legislative footprint'.	GOV > Be transparent (right to know)	prescriptive standard	Living legislative footprint posted publicly during drafting	"Making public announcements about legislation as it is being developed... By making such information public — along with all links to submissions made to the internet consultation from industry associations, companies, organisations etc. — the 'legislative footprint' would be transparent from the very beginning ('living legislative footprint')." papers/text/SOMO_2016__structural_problem.txt:2914-2922	-
somo_2016	gov.righttoknow.diary.1	Decision-makers (Ministers, Deputy Ministers, Director-Generals, senior officials) publish diaries that announce as many meetings/events as possible a week ahead.	GOV > Be transparent (right to know)	prescriptive standard	Diaries published a week ahead	"Publishing diaries that announce as many meetings/events as possible a week ahead." papers/text/SOMO_2016__structural_problem.txt:2928	-
somo_2016	gov.righttoknow.diary.2	Maintain a detailed website archive of professional meetings/events with external parties, recording date, organisation/individuals attending, subjects covered, documents received before/during/after, location, links to speeches, and use of social media.	GOV > Be transparent (right to know)	prescriptive standard	Website archive of meetings with all listed metadata fields	"Maintaining a detailed archive on the website of the professional meetings/events undertaken with external parties, and publishing in very short (as is the case at the European Commission): · the date of the meeting; · the organisation/company represented at the meeting and/or the individuals who attended; · the subjects covered at the meeting and any documents received in connection with the discussion before, during and after the meeting; · where the meeting took place; · links to speeches made by the Minister at events; · ensuring all speeches made by Ministers, Deputy Ministers and Director-Generals are available on the Ministry's website; · using social media to inform the public about the Minister's activities and press conferences (cf. tweets made by the Minister of Finance)." papers/text/SOMO_2016__structural_problem.txt:2934-2946	Item compounds several disclosure fields; explicit reference to European Commission as benchmark.
somo_2016	gov.righttobeheard.consult.1	Improve public internet consultations by including questions accessible and comprehensible to citizens and non-profit organisations.	GOV > Protect the right to be heard	prescriptive standard	Consultation questions are accessible to non-experts	"Including questions that are accessible and comprehensible to citizens and non-profit organisations, and can be easily answered;" papers/text/SOMO_2016__structural_problem.txt:2954-2955	-
somo_2016	gov.righttobeheard.consult.2	Consultation questions address the aim and desired effect of legislation, not only technicalities.	GOV > Protect the right to be heard	prescriptive standard	Questions cover policy aims, not only technicalities	"Asking questions related to the aim and desired effect of the legislation, and not only focusing on the technicalities;" papers/text/SOMO_2016__structural_problem.txt:2956-2957	-
