paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
alter_eu_2013	financial_disclosure.1	Replace the current system of hugely diverging bandwidths with a requirement that consultancies and law firms declare clients' expenditure in bandwidths of €10,000.	Financial disclosure requirements	open		"Instead of the current system of hugely diverging bandwidths, consultancies and law firms should have to declare clients' expenditure in bandwidths of €10,000." (papers/text/ALTER_EU_2013__transparency_register_review.txt:14-16)	EU-specific currency (€10,000); but the principle (narrower fixed bandwidths for consultancy client expenditure) generalizes.
alter_eu_2013	funding_sources.1	All registrants (including industry lobby groups, thinktanks and NGOs) should name all government agencies, grant-making foundations, companies and others that contribute to their budget.	Transparency on funding sources	open		"All registrants (including industry lobby groups, thinktanks and NGOs) should be asked to name all government agencies, grant-making foundations, companies and others that contribute to their budget" (papers/text/ALTER_EU_2013__transparency_register_review.txt:18-21)	Applies to all registrant types, not just consultancies.
alter_eu_2013	funding_sources.2	Registrants should specify the amount received from each funding contributor.	Transparency on funding sources	open		"specify the amount they receive from each of these" (papers/text/ALTER_EU_2013__transparency_register_review.txt:20-21)	Per-source amount, not just aggregate.
alter_eu_2013	funding_sources.3	Small private donations from individuals (up to a certain threshold) should be exempt from the funding-source disclosure requirement.	Transparency on funding sources	open		"Small private donations from individuals (up to a certain threshold) should be exempt." (papers/text/ALTER_EU_2013__transparency_register_review.txt:21-22)	Threshold left unspecified by ALTER-EU.
alter_eu_2013	lobbyist_names.1	Registrants should be required to list the names of all their lobbyists in the register, not simply those with parliamentary access badges.	Names of lobbyists and revolving door listings	open		"Registrants should be required to list the names of all their lobbyists (not simply those with parliamentary access badges) in the register" (papers/text/ALTER_EU_2013__transparency_register_review.txt:24-26)	Parliament-pass scope is EU-specific; the underlying principle (full lobbyist roster) generalizes.
alter_eu_2013	lobbyist_names.2	Registrants should disclose any former public offices that their lobbyists have held, including at the national level.	Names of lobbyists and revolving door listings	open		"as well as any former public offices that these lobbyists have held (including at the national level). This is to enable public scrutiny of the revolving door" (papers/text/ALTER_EU_2013__transparency_register_review.txt:26-28)	Revolving-door disclosure; explicitly includes national-level past offices (not just EU-level).
alter_eu_2013	issues_lobbied.1	Organisations should be required to provide precise information on the main legislative proposals they are lobbying on, including a list of official legislative references.	Issues lobbied on	open		"Organisations should be required to provide precise information on the main legislative proposals they are lobbying on, including a list of official legislative references." (papers/text/ALTER_EU_2013__transparency_register_review.txt:31-33)	Legislative references generalize to bill numbers / docket IDs at state level.
alter_eu_2013	issues_lobbied.2	Leaving the issues-lobbied field blank or providing a very general description should not be allowed.	Issues lobbied on	open		"Leaving this field blank or providing a very general description, as is currently often the case, should not be allowed." (papers/text/ALTER_EU_2013__transparency_register_review.txt:33-34)	Anti-vagueness rule for issue-disclosure fields.
alter_eu_2013	issues_lobbied.3	Introduce a more user-friendly disclosure model for issues lobbied on, for example a drop-down list of legislative dossiers.	Issues lobbied on	open		"a more user-friendly model for disclosing issues lobbied on should be introduced, for example, a drop-down list of legislative dossiers." (papers/text/ALTER_EU_2013__transparency_register_review.txt:34-35)	Form-design recommendation; structured pick-list rather than free text.
alter_eu_2013	issues_lobbied.4	Consultancies and law firms should be obliged to provide a list of the main legislative proposals on which they have lobbied, for each of their clients.	Issues lobbied on	open		"consultancies and law firms should be obliged to provide a list of the main legislative proposals on which they have been lobbying, for each of their clients." (papers/text/ALTER_EU_2013__transparency_register_review.txt:36-37)	Per-client legislative-issue disclosure for consultancies/law firms.
