paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
intl_standards_2015	gp.1	Lobbying is a legitimate activity and an important part of the democratic process.	GUIDING PRINCIPLES	principle	Not scored — framing principle	"Lobbying is a legitimate activity and an important part of the democratic process." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:103	Unnumbered guiding principle (preamble); not part of the 38 numbered standards.
intl_standards_2015	gp.2	There is a significant public interest in ensuring the transparency and integrity of lobbying, as well as diversity of participation and contribution to public decision-making.	GUIDING PRINCIPLES	principle	Not scored — framing principle	"There is a significant public interest in ensuring the transparency and integrity of lobbying, as well as diversity of participation and contribution to public decision-making." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:105-106	Unnumbered guiding principle (preamble).
intl_standards_2015	gp.3	Any regulatory measures shall be proportionate, fit for purpose and not impede on the individual rights of assembly, free speech and petition of government.	GUIDING PRINCIPLES	principle	Not scored — framing principle	"Any regulatory measures to secure these ends shall be proportionate, fit for purpose and not impede on the individual rights of assembly, free speech and petition of government." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:108-109	Unnumbered guiding principle (preamble).
intl_standards_2015	scope.1	'Lobbying' should cover any direct or indirect communication with a public official made, managed or directed with the purpose of influencing public decision-making.	REGULATORY SCOPE > Definitions	standard (definition)	Normative definition; presence/absence in regulation	"'Lobbying' – the term should cover any direct or indirect communication with a public official that is made, managed or directed with the purpose of influencing public decision-making." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:121-123	Top-level standard #1 of 38.
intl_standards_2015	scope.2	'Public Official' shall include any individual with decision-making powers (and their advisors), elected/appointed/employed in executive or legislative branches at national, sub-national, or supra-national levels; in private bodies performing public functions; and in public international organisations domiciled or operational in the country.	REGULATORY SCOPE > Definitions	standard (definition)	Normative definition; presence/absence in regulation	"'Public Official' – shall include any individual with decision-making powers (and their advisors), who are elected, appointed or employed within the executive or legislative branches" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:125-129	Top-level standard #2 of 38.
intl_standards_2015	scope.3	'Lobbyist' should entail any natural or legal person who engages in lobbying activities, whether for private, public or collective ends, whether for compensation or without.	REGULATORY SCOPE > Definitions	standard (definition)	Normative definition; presence/absence in regulation	"'Lobbyist' – should entail any natural or legal person who engages in lobbying activities, whether for private, public or collective ends, whether for compensation or without." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:131-132	Top-level standard #3 of 38.
intl_standards_2015	scope.4	'Public decision-making' shall include creation/amendment of legislation or other regulatory measures; development, modification and implementation of public policies, strategies and programmes; and awarding of government contracts/grants, administrative decisions or other public spending decisions.	REGULATORY SCOPE > Definitions	standard (definition)	Normative definition; presence/absence in regulation	"'Public decision-making' – shall include the creation and amendment of legislation or any other regulatory measures; the development, modification and implementation of public policies" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:134-137	Top-level standard #4 of 38.
intl_standards_2015	scope.5	Citizen interactions concerning private affairs shall not be considered lobbying, save where they may concern individual economic interests of sufficient size or importance to potentially compromise public interest; in such case a balancing act on benefit and efficacy of regulation is needed, with consideration for constitutional protections.	REGULATORY SCOPE > Exceptions	standard (exception)	Normative exception; presence/absence in regulation	"Citizen interactions – the interaction of individual citizens with public officials concerning their private affairs shall not be considered lobbying, save for where it may concern individual economic interests of sufficient size or importance" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:141-146	Top-level standard #5 of 38.
intl_standards_2015	scope.6	If deemed necessary, the regulation may exclude public officials acting in their official capacity, diplomatic agents of foreign states, and political parties (since they play a quasi-public role).	REGULATORY SCOPE > Exceptions	standard (exception)	Permissive — optional exclusion	"Public officials, diplomats, political parties – if deemed necessary, the regulation may exclude public officials acting in their official capacity, diplomatic agents of foreign states and political parties (since they play a quasi-public role)." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:148-150	Top-level standard #6 of 38.
intl_standards_2015	transp.1	Mandatory register: framework should require establishment of a mandatory lobbying register to which lobbyists, and all organisations who lobby (in-house or other), must sign up; activities are reported on a periodic basis along with designated supplementary information.	TRANSPARENCY > Lobbying Register	standard	Presence/absence; mandatory vs voluntary	"Mandatory register – the framework should require the establishment of a mandatory lobbying register to which the lobbyists, and all organisations who lobby whether by employing in-house or other lobbyists, must sign up" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:165-169	Top-level standard #7 of 38.
intl_standards_2015	transp.2	Timely registration and reporting: initial lobbyist registration should take place before any lobbying activity; updates shortly after relevant changes; activity reporting frequency set to allow meaningful analysis (minimum quarterly, ideally close to real-time).	TRANSPARENCY > Lobbying Register	standard	Presence + frequency (min quarterly, ideal real-time)	"Timely registration and reporting – the initial lobbyist registration should take place in a timely fashion, before any lobbying activity takes place... (minimum quarterly, ideally close to real-time)." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:171-175	Top-level standard #8 of 38.
intl_standards_2015	transp.3	Information disclosed: among others, the register shall include information on lobbyist identity, subject matter and outcomes sought, ultimate beneficiary, targeted institution/official, type and frequency of activities, supporting documentation, expenditure (incl. in-kind), funding sources, political contributions, prior public-official roles (incl. family), and public funding received.	TRANSPARENCY > Lobbying Register	standard (umbrella)	Composite — see sub-points 3.a–3.k	"Information disclosed – among others, the register shall include information on:" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:177	Top-level standard #9 of 38. Composite indicator broken into 11 granular sub-points (3.a–3.k).
intl_standards_2015	transp.3.a	Lobbyist identity	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"a. lobbyist identity" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:179	Granular sub-point of standard 9.
intl_standards_2015	transp.3.b	The subject matter of lobbying activities and outcomes sought	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"b. the subject matter of lobbying activities and outcomes sought" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:181	Granular sub-point of standard 9.
intl_standards_2015	transp.3.c	The ultimate beneficiary of lobbying activities (where relevant)	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"c. the ultimate beneficiary of lobbying activities (where relevant)" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:183	Granular sub-point of standard 9.
intl_standards_2015	transp.3.d	The targeted institution and/or the public official concerned	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"d. the targeted institution and/or the public official concerned" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:185	Granular sub-point of standard 9.
intl_standards_2015	transp.3.e	The type and frequency of lobbying activities	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"e. the type and frequency of lobbying activities" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:187	Granular sub-point of standard 9.
intl_standards_2015	transp.3.f	Any supporting documentation shared with the public officials	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"f. any supporting documentation shared with the public officials" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:189	Granular sub-point of standard 9.
intl_standards_2015	transp.3.g	Lobbying expenditure, including in-kind (calculated to set criteria, in cost bands if need be)	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed; bands acceptable	"g. lobbying expenditure, including in-kind (calculated to set criteria, in cost bands, if need be)" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:191-192	Granular sub-point of standard 9.
intl_standards_2015	transp.3.h	Sources of funding, per client and per dossier	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"h. sources of funding, per client and per dossier" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:194	Granular sub-point of standard 9.
intl_standards_2015	transp.3.i	Any political contributions, including in-kind	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"i. any political contributions, including in-kind" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:196	Granular sub-point of standard 9.
intl_standards_2015	transp.3.j	Any prior roles as public official held by the individual and/or family members	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"j. any prior roles as public official held by the individual and/or family members" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:198	Granular sub-point of standard 9.
intl_standards_2015	transp.3.k	Public funding received	TRANSPARENCY > Lobbying Register > Information disclosed	granular sub-point	Disclosed / not disclosed	"k. public funding received" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:200	Granular sub-point of standard 9.
intl_standards_2015	transp.4	Accessibility, openness and comparability of data: information online via single website, free of charge, indexable and downloadable in full as machine-readable open data (per opendefinition.org); should conform to existing open data standards; unique identifier per lobbyist/organisation; linking to other data sets is recommended.	TRANSPARENCY > Lobbying Register	standard	Presence + multiple sub-criteria (online, free, machine-readable, indexable, unique IDs, linked)	"Accessibility, openness and comparability of data – the information should be made available online, through a single website, free of charge, indexable and downloadable in full as machine readable open data" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:205-208	Top-level standard #10 of 38.
intl_standards_2015	transp.5	Minimal administrative burden: system should allow ease of registration and reporting and minimise burden; balance with public-sector proactive disclosure obligations and the public right to know.	TRANSPARENCY > Lobbying Register	standard	Qualitative — burden minimised + balanced with proactive disclosure	"Minimal administrative burden – the system should allow for ease of registration and reporting, and look to minimise the administrative burden involved." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:213-216	Top-level standard #11 of 38.
intl_standards_2015	transp.6	Access to information law: a comprehensive access-to-information law shall guarantee the public's right of access to information, including information about lobbying.	TRANSPARENCY > Public Access to Information	standard	Presence/absence of comprehensive ATI law	"Access to information law – a comprehensive access to information law shall guarantee the public's right of access to information, including information about lobbying." papers/text/AccessInfo_2015__intl_lobbying_standards.txt:220-221	Top-level standard #12 of 38.
intl_standards_2015	transp.7	Limited exceptions: ATI law should set out a limited number of exceptions (privacy, security, financial sensitivity, decision-making process, other legitimate concerns), bound by a harm and public-interest test in line with international standards.	TRANSPARENCY > Public Access to Information	standard	Presence + harm/public-interest test	"Limited exceptions – the law should clearly set out a limited number of exceptions to address the privacy, security, financial sensitivity, decision-making process and any other legitimate concerns, which should be bound by a harm and public interest test" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:223-226	Top-level standard #13 of 38.
intl_standards_2015	transp.8	Proactive publication: public bodies/officials proactively publish organisational, programmatic, administrative, financial, and business-schedule information; meeting summaries; background documentation; preparatory analyses; obligations extend to expert/consultative bodies.	TRANSPARENCY > Public Access to Information	standard	Presence + scope (incl. expert/consultative bodies)	"Proactive publication – the public bodies and officials should proactively publish their organisational, programmatic, administrative, financial, and business schedule information, summaries of meetings and other interactions" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:228-233	Top-level standard #14 of 38.
intl_standards_2015	transp.9	Decision-making footprint: where possible, and certainly for all legislative and policy initiatives, information should be clustered around individual items, producing a 'decision-making footprint' outlining history, public engagement and process; should link to lobbying-register data.	TRANSPARENCY > Public Access to Information	standard	Presence + linkage to register	"Decision-making footprint – where possible, and certainly for all legislative and policy initiatives, this information should be clustered around the individual items for consideration, producing a 'decision-making footprint'" papers/text/AccessInfo_2015__intl_lobbying_standards.txt:235-239	Top-level standard #15 of 38.
