paper,indicator_id,indicator_text,section
CPI_2015,C01,Public access to information,13_categories
CPI_2015,C02,Political financing,13_categories
CPI_2015,C03,Electoral oversight,13_categories
CPI_2015,C04,Executive accountability,13_categories
CPI_2015,C05,Legislative accountability,13_categories
CPI_2015,C06,Judicial accountability,13_categories
CPI_2015,C07,State budget processes,13_categories
CPI_2015,C08,State civil service management,13_categories
CPI_2015,C09,Procurement,13_categories
CPI_2015,C10,Internal auditing,13_categories
CPI_2015,C11,Lobbying disclosure,13_categories
CPI_2015,C12,State pension fund management,13_categories
CPI_2015,C13,Ethics enforcement agencies,13_categories
CPI_2015,Q_LA1,"Whether lawmakers are required to file financial interest disclosures, and also whether they are complete and detailed",Legislative accountability
CPI_2015,Q_AI1,Whether citizens actually receive responses to their requests swiftly and at reasonable cost,Public access to information
CPI_2015,Q_OD,Whether governments are meeting open data principles (per-category sub-questions),Cross-cutting (added in 2015)
HiredGuns,Q1,definition recognizes executive branch lobbyists in addition to legislative lobbyists,Deﬁnition of Lobbyist
HiredGuns,Q2,"threshold to qualify as a lobbyist or to prompt registration as a lobbyist, according to the definition: an individual make/spend",Deﬁnition of Lobbyist
HiredGuns,Q3,lobbyist required to file a registration form,Individual Registration
HiredGuns,Q4,days before registration is required: lobbying take place,Individual Registration
HiredGuns,Q5,subject matter or bill number on registration forms,Individual Registration
HiredGuns,Q6,frequency: registration by a lobbyist required,Individual Registration
HiredGuns,Q7,days within which a lobbyist notify the oversight agency of changes in registration,Individual Registration
HiredGuns,Q8,lobbyist required to submit a photograph with registration,Individual Registration
HiredGuns,Q9,lobbyist required to identify by name each employer on the registration form,Individual Registration
HiredGuns,Q10,"lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)",Individual Registration
HiredGuns,Q11,lobbyist required to file a spending report,Individual Spending Disclosure
HiredGuns,Q12,frequency: a lobbyist required to report spending,Individual Spending Disclosure
HiredGuns,Q13,compensation/salary reported by a lobbyist on spending reports,Individual Spending Disclosure
HiredGuns,Q14,"summary totals of spending classified by category types (i.e., gifts, entertainment, postage, etc.)",Individual Spending Disclosure
HiredGuns,Q15,spending itemized,Individual Spending Disclosure
HiredGuns,Q16,lobbyist employer/principal on whose behalf the itemized expenditure was made identified,Individual Spending Disclosure
HiredGuns,Q17,recipient of the itemized expenditure identified,Individual Spending Disclosure
HiredGuns,Q18,date of the itemized expenditure reported,Individual Spending Disclosure
HiredGuns,Q19,description of the itemized expenditure reported,Individual Spending Disclosure
HiredGuns,Q20,subject matter or bill number on spending reports,Individual Spending Disclosure
HiredGuns,Q21,spending on household members of public officials by a lobbyist,Individual Spending Disclosure
HiredGuns,Q22,"lobbyist required to disclose direct business associations with public officials, candidates or members of their households",Individual Spending Disclosure
HiredGuns,Q23,a lobbyist giving and reporting gifts,Individual Spending Disclosure
HiredGuns,Q25,lobbyist who has done no spending during a filing period required to make a report of no activity,Individual Spending Disclosure
HiredGuns,Q26,employer or principal of lobbyist required to file a spending report,Employer Spending Disclosure
HiredGuns,Q27,compensation/salary reported on employer/principal spending reports,Employer Spending Disclosure
HiredGuns,Q28,oversight agency provides lobbyists/employers with online registration,Electronic Filing
HiredGuns,Q29,oversight agency provides lobbyists/employers with online spending reporting,Electronic Filing
HiredGuns,Q30,oversight agency provides training about how to file registrations/spending reports electronically,Electronic Filing
HiredGuns,Q31,Location/format of registrations or active lobbyist directory,Public Access
HiredGuns,Q32,Location/format of spending reports,Public Access
HiredGuns,Q33,Cost of copies,Public Access
HiredGuns,Q34,sample registration forms/spending reports availability the Web,Public Access
HiredGuns,Q35,state agency provides an overall lobbying spending total by year,Public Access
