paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
kim_2018_lobbyview	lobbying_report	Lobbying report — quarterly disclosure record filed under the LDA (entity = LobbyingReport object, filterable by year and other columns)	Database schema: lda/models — LobbyingReport	entity_table	N/A (data field, not a scored indicator). Primary unit of LDA disclosure; filterable by year and other columns; linked many-to-many to LobbyingIssue (issue codes lobbied) and to LobbyingSpecificIssue (free-text issue narratives).	"reports = LobbyingReport.query.filter_by(year=2011) ... returns all lobbying reports filed in 2011" papers/text/Kim_2018__lobbyview.txt:239-243; "based on the universe of lobbying reports filed under the Lobbying Disclosure Act of 1995" :9-10	LDA-direct field. Quarterly cadence: "lobbying report will almost always only mention legislation from a single Congress" :81-82. Federal (1995-) only.
kim_2018_lobbyview	lobbying_specific_issue	Specific-issue narrative text — the free-text section of an LDA report describing what the lobbying activity addressed; full-text indexed in Whoosh for searching	Database schema: lda — LobbyingSpecificIssue	free_text	N/A. Indexed via lda/ix_utils.py issue_search; supports phrase and bag-of-words queries.	"the text of each lobbying report specific issue ... duplicated in a separate full-text index database" :253-256; "issue_search ... return_objects ... make_phrase" :257-264	LDA-direct field; LobbyView enrichment = full-text index over it.
kim_2018_lobbyview	lobbying_issue_code	Issue-area code lobbied on (e.g., 'TRADE (DOMESTIC/FOREIGN)') — many-to-many link from a lobbying report to one or more standardized LDA issue codes	Database schema: lda — LobbyingIssue	categorical	N/A. Filter expression shown: `LobbyingReport.issues.any(LobbyingIssue.code.in_(['TRADE (DOMESTIC/FOREIGN)']))` returning 52,418 reports.	"trade = LobbyingReport.query.filter(LobbyingReport.issues.any(LobbyingIssue.code.in_(['TRADE (DOMESTIC/FOREIGN)']))) ... trade.count() 52418" :245-251	LDA-direct field (LDA standardized issue list); LobbyView normalizes into many-to-many table.
kim_2018_lobbyview	report_filing_year	Filing year of a lobbying report; used heuristically to bound candidate Congress when bill numbers lack annotation	Database schema: lda — LobbyingReport.year	numeric	N/A. Used as anchor: "consider a range of candidate Congresses extending backwards from the Congress containing the year that the lobbying report was filed."	"By default, we consider the three preceding Congresses" :63-64; "If no bill having the same number exists in the entire range of Congresses we consider, we simply guess that the bill comes from the Congress of the year the lobbying report was filed." :77-78	LDA-direct field; load-bearing input to bill-disambiguation pipeline.
kim_2018_lobbyview	bill	Congressional bill record, primary key of form `{congress}_{billnumber}` (e.g., `110_HR7311`); linked to titles, terms, CRS summary, introduction date	Database schema: bills — Bill	entity_table	N/A. Primary key encoding: "the id is a string of the form 110 HR7311, where 110 is the number of the congress to which this bill belongs, and HR7311 is the bill number."	"the id is a string of the form 110 HR7311 ... To retrieve a particular bill by its id, use the following snippet: b = Bill.query.get('110_HR7311')" :201-204	External-data field (Congress.gov / CRS); LobbyView enrichment = linked into the lobbying database via bill-matching pipeline (the paper's headline contribution).
kim_2018_lobbyview	bill_introduced_date	Date a bill was introduced (Bill.introduced field)	Database schema: bills — Bill.introduced	datetime	N/A. Standard Field-typed attribute on Bill; "we can get the date that the bill was introduced with b.introduced".	"we can get the date that the bill was introduced with b.introduced, get its CRS summary text with b.summary" :206-207	Congressional-data field (not from LDA).
kim_2018_lobbyview	bill_crs_summary	CRS (Congressional Research Service) summary text of a bill; full-text indexed in Whoosh	Database schema: bills — Bill.summary	free_text	N/A. Full-text indexed via bills/ix_utils.py summary_search; supports phrase queries (e.g., 'uruguay round' as phrase vs bag-of-words).	"Two types of data items are duplicated in a separate full-text index database to facilitate more efficient searching: the CRS summary text of each bill, and the text of each lobbying report specific issue." :253-256; "summary_search ... make_phrase=True" :283-292	Congressional-data field; LobbyView enrichment = full-text index used to retrieve topic-specific bill subsets (example: trade-related bills via phrase queries).
kim_2018_lobbyview	bill_title	Bill title — one-to-many: each bill has one or more BillTitle objects	Database schema: bills — BillTitle	entity_table	N/A. Used both for storage and as the index against which lobbying-report text is matched in step 4 of the bill-detection pipeline.	"titles = OneToMany('BillTitle')" :216; "Bills are sometimes only referred to by titles or alternate names. To account for this, we clean and tokenize the specific issue sections of the lobbying report, and perform a text matching operation against a table of bill titles." :84-87	Congressional-data field; load-bearing for bill-title-matching enrichment.
kim_2018_lobbyview	bill_term	Bill subject-matter term — many-to-many between Bill and Term, supporting topic-based bill grouping	Database schema: bills — Term	categorical	N/A. Many-to-many: "looking at b.terms gives all of the terms that that bill is classified under, and for a term t, looking at t.bills gives all bills under that term."	"terms = ManyToMany('Term')" :229-233	Congressional-data field (likely sourced from CRS subject-term taxonomy).
kim_2018_lobbyview	bill_lobbying_link	Inferred link between a lobbying report and one or more bills it discusses — produced by the bill-detection pipeline (regex bill-numbers + cosine-similarity Congress disambiguation + propagation + title matching + range expansion)	LobbyView enrichment: bill-detection pipeline	derived_link	N/A. Not a single field but the central enrichment: edges from {LobbyingReport, LobbyingSpecificIssue} to Bill objects.	"LobbyView bridges two distinct observable political behaviors with regard to congressional bills: (1) sponsorship by politicians, and (2) reported lobbying by interest groups." :11-12	LobbyView-added enrichment (the paper's headline). Method: 5-step pipeline detailed in §2 — Bill Number Search (regex), Congress Identification (cosine similarity over bag-of-words around the bill mention vs candidate Congress bills' bag-of-words), Congress Propagation (majority vote within report), Bill Title Search (text match against title table), Bill Range Expansion (e.g., H.R. 4182-4186 → 4182, 4183, 4184, 4185, 4186, default range ≤10).
