paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
mckay_wozniak_2020	thesis.aspect_1.regulatory_weakness	Lobbying regulation in the UK is among the very weakest of countries that have developed lobbying disclosure laws.	Five-aspect thesis (Introduction)	open		"Lobbying regulation in the UK is among the very weakest of countries that have developed lobbying disclosure laws" [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:73-74]	One of five numbered "aspects" the authors say "together suggest that the Government purposely chose to keep lobbying in the UK in the dark" (lines 69-71). Not a scored item — a thesis bullet. Substantiated by re-applying CPI's Hired Guns rubric to the UK (separate sub-claims captured below as cpi.* corrections).
mckay_wozniak_2020	thesis.aspect_2.register_meetings_mismatch	The set of lobby clients listed in the register is significantly different from the set of groups with whom ministerial offices report having met.	Five-aspect thesis (Introduction)	open		"The set of lobby clients listed in the register is significantly different from the set of groups with whom ministerial offices report having met" [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:75-76]	Quantitative finding (44% / 29% / 4% / 2% overlap rates, lines 467-468 and 533-537).
mckay_wozniak_2020	thesis.aspect_3.collation_burden	Collating information about ministerial meetings is too burdensome for any layperson to do.	Five-aspect thesis (Introduction)	open		"Collating information about ministerial meetings is too burdensome for any layperson to do" [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:77-78]	Operationalised through the seven usability criteria (usability.* below). 1045 files in 7 different formats across 23 departments (lines 322-324, 442-444).
mckay_wozniak_2020	thesis.aspect_4.legislative_debate_warned	The debate surrounding lobbying transparency as the law was being written made clear that the proposal was not robust enough.	Five-aspect thesis (Introduction)	open		"The debate surrounding lobbying transparency as the law was being written made clear that the proposal was not robust enough" [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:79-80]	Process-tracing claim — 85% of 259 consultation comments wanted stricter rules (Crepaz 2017a, lines 271-272); Public Administration Select Committee 2009 had recommended much more stringent regulations (lines 241-247).
mckay_wozniak_2020	thesis.aspect_5.skewed_access	Lobbying clients meet more frequently with Government ministers than unregistered groups, and a small number of lobby clients dominate over the others.	Five-aspect thesis (Introduction)	open		"Lobbying clients meet more frequently with Government ministers than unregistered groups, and a small number of lobby clients dominate over the others" [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:81-82]	Empirical: top 10% of groups account for 60% of meetings; top 1% account for 27% (lines 591-594). Average lobby client meets ministers 17 times vs 3-4 times for the average meeting-data group (lines 560-562).
mckay_wozniak_2020	usability.accuracy	Accuracy (preciseness, factuality) of disclosed transparency data — does the disclosure offer policy-specific information rather than vague filler labels, and are organizational affiliations identified?	Usability of ministerial-meetings data (criteria 1 of 7)	open		"Accuracy (preciseness, factuality) The meetings data offer little information about the meetings other than the broad 'purpose of the meeting.' Among the most commonly stated purposes are generic descriptions such as 'trade and investment,' 'energy issues,' or 'tax matters.' … A total of 10% of our acquired reports fail to offer any policy-specific information about what was discussed in any of the meetings listed." [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:341-350]	Adopted from Piotrowski & Liao (2012). UK assessment: poor — vague purposes, ~10% of reports give no policy-specific info; 5.2% of meeting-data entries identify a person without organizational affiliation (line 364). Authors invoke Piotrowski & Liao's "intentional concealment" label (line 372).
mckay_wozniak_2020	usability.accessibility	Accessibility of disclosed transparency data — is online access public and open, with no registration required, and are files downloadable?	Usability of ministerial-meetings data (criteria 2 of 7)	open		"Accessibility Online access to the meetings data is public and open; no registration is necessary. All files can be accessed via either the general gov.uk website or the publications section of the individual department websites. All files can be downloaded in the format provided by the source." [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:374-378]	Adopted from Piotrowski & Liao (2012). UK assessment: positive — files are publicly downloadable; .csv files can be previewed in-browser.
mckay_wozniak_2020	usability.completeness	Completeness of disclosed transparency data — are all required reports filed, and do the data cover all relevant levels of officials and all departments?	Usability of ministerial-meetings data (criteria 3 of 7)	open		"Completeness By the middle of 2016, 92.6% of the 877 required quarterly reports were available for the years 2011–2015. … However, the 5000 senior civil servants at the next levels do not have to report their meetings, nor do Special Advisers to ministers (their political staff). One department, Export Finance, had not published any meeting disclosures by mid-2016. The incomplete data provided and nondisclosure of meetings with other levels of government suggest a substantial shortfall in fulfilling Piotrowski and Liao's (2012) specification that 'all necessary parts' be published." [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:380-393]	Adopted from Piotrowski & Liao (2012). UK assessment: poor — 877 expected reports = 20 quarters × 44 department positions, minus 3 for the abolished Deputy PM office; 92.6% filing rate; coverage gaps for civil servants, Special Advisers, junior ministers, and one whole department (Export Finance).
mckay_wozniak_2020	usability.understandability	Understandability of disclosed transparency data — are reports written in non-technical language, avoiding uncommon acronyms?	Usability of ministerial-meetings data (criteria 4 of 7)	open		"Understandability All meetings disclosures are arranged and written in a way that makes them easily understandable. For the most part, the reports eschew technical language and the use of uncommon acronyms. Filers could possibly argue that the use of generic statements of the meetings' purposes increases their understandability for the lay public; however, their lack of accuracy and completeness is better described as a hindrance to transparency and open government." [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:395-400]	Adopted from Piotrowski & Liao (2012). UK assessment: surface-positive but the authors note this trades off with accuracy.
mckay_wozniak_2020	usability.timeliness	Timeliness of disclosed transparency data — are quarterly reports uploaded promptly after the close of the relevant quarter?	Usability of ministerial-meetings data (criteria 5 of 7)	open		"Timeliness As mentioned above, our data collection during the third and fourth quarters of 2016 revealed that 7.4% of quarterly reports from the years 2011 to 2015 were still not available online. Moreover, almost 30% of reports about the first quarter of 2016 and 21% of reports about the fourth quarter of 2015 had not yet been uploaded, which indicates a failure on the part of departments to provide their transparency information in a timely manner." [papers/text/McKay_Wozniak_2020__lobbying_transparency_uk.txt:402-410]	Adopted from Piotrowski & Liao (2012). UK assessment: poor — late filings widespread.
