id,row_id,criterion,tag,evidence,note
1,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,C1,axis-ambiguous-name,"ID 'ADMIN_AGENCY_LOBBYING' could read as actor-axis (lobbying *by* admin agencies) or target-axis (lobbying *directed at* admin agencies). Description anchors target-axis with explicit 'TARGET axis. ... directed at (with administrative or executive-branch agencies as the recipients of lobbying contact)'.",Reference example from iter-1 disagreement on retirement_system regime; chunk-frame preamble papers over but ID layer still ambiguous.
2,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,C2,rubric-source-ambiguous,"All 4 cross-refs (Newmark 2017/2005 def_admin_agency_lobbying, Opheim 1991 def_admin_agency_lobbying with 'administrative' in scare quotes in source paper, Hired Guns Q1) have direction-implicit source language. Hired Guns Q1 explicit text: 'In addition to legislative lobbyists, does the definition recognize executive branch lobbyists?' — CPI gloss confirms target-axis but the question itself is direction-ambiguous; Newmark/Opheim use the noun 'administrative agency lobbying' / 'administrative lobbying' without naming direction.",Reinforces C1: rubric ambiguity propagated into row.
3,DEF_COMPENSATION_STANDARD,C1,axis-ambiguous-name,"ID 'COMPENSATION_STANDARD' does not disambiguate income-side ('paid > $X = lobbyist') vs expenditure-side. Description must specify 'income-side: paid > $X per period = lobbyist'. Word 'standard' is direction-agnostic.","Distinct from PRI D1 (expenditure-side exemption) per D3."
4,DEF_COMPENSATION_STANDARD,C4,cross-row-overlap,"No _VALUE counterpart row exists. Description references '$X per period' threshold but there is no DEF_COMPENSATION_STANDARD_VALUE. Asymmetric vs (DEF_EXPENDITURE_STANDARD ↔ THRESHOLD_LOBBYING_EXPENDITURE_VALUE) and (DEF_TIME_STANDARD ↔ THRESHOLD_LOBBYING_TIME_VALUE). A state with compensation-standard inclusion threshold has no row to populate the dollar value.",Curation gap.
5,DEF_EXPENDITURE_STANDARD,C1,axis-ambiguous-name,"ID 'EXPENDITURE_STANDARD' could be inclusion-framed ('spends > $X IS a lobbyist') or exemption-framed ('spends < $X is exempt'). Description specifies 'THRESHOLD axis (quantitative, inclusion-framed)' — the inclusion/exemption distinction is the load-bearing one (D11 disambiguation rule), and the ID does not carry it.","Pair with THRESHOLD_LOBBYING_EXPENDITURE_PRESENT (exemption-framed only after D11)."
6,DEF_EXPENDITURE_STANDARD,C4,cross-row-overlap,"Pair with THRESHOLD_LOBBYING_EXPENDITURE_PRESENT (registration domain). D11 addendum acknowledges overlap and tightened descriptions to 'inclusion-only' / 'exemption-only' — but THRESHOLD_LOBBYING_EXPENDITURE_VALUE description says 'Dollar value of the lobbying-expenditure threshold (whether framed as inclusion or exemption)' implying same VALUE applies to both rows, structurally wrong if a state has different inclusion and exemption thresholds.",Asymmetry: PRESENT/STANDARD split but VALUE shared.
7,DEF_TIME_STANDARD,C1,axis-ambiguous-name,"Same issue as DEF_EXPENDITURE_STANDARD: ID 'TIME_STANDARD' does not signal inclusion vs exemption framing. Description tightens to 'THRESHOLD axis (quantitative, inclusion-framed)'.",Pair with THRESHOLD_LOBBYING_TIME_PRESENT.
8,DEF_TIME_STANDARD,C4,cross-row-overlap,"Same asymmetry as DEF_EXPENDITURE_STANDARD: paired with THRESHOLD_LOBBYING_TIME_PRESENT but THRESHOLD_LOBBYING_TIME_VALUE is shared across inclusion/exemption framings.",Same.
9,THRESHOLD_LOBBYING_MATERIALITY_GATE,C1,axis-ambiguous-name,"ID prefix 'THRESHOLD_*' shared with quantitative-threshold rows in registration domain (THRESHOLD_LOBBYING_EXPENDITURE_PRESENT etc.) but this row is in definitions domain and is qualitative-only per description ('THRESHOLD axis (qualitative)'). Shared 'THRESHOLD_' prefix invites quantitative reading; description must override.",Cross-domain ID-prefix collision.
10,THRESHOLD_LOBBYING_EXPENDITURE_PRESENT,C1,axis-ambiguous-name,"ID '*_PRESENT' suggests boolean 'is a threshold present?' which on its face captures both inclusion- and exemption-framed thresholds. Per D11 addendum (2026-05-01) this row is exemption-framed only; inclusion-framed counterpart is DEF_EXPENDITURE_STANDARD. Direction not in ID.",D11 disambiguation rule explicitly tightens descriptions but leaves IDs alone.
