#,row_id,criterion,tag,evidence,note
1,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,C1,axis-ambiguous-name,"ID `DEF_ADMIN_AGENCY_LOBBYING_TRIGGER` reads ambiguously: could mean ""lobbying *by* admin agencies"" (actor-axis, parallel to REG_EXECUTIVE_AGENCY) or ""lobbying *of* admin agencies"" (target-axis, what the description says). Description leads with explicit ""TARGET axis"" tag; ID does not.",seed example from iter-1; described in handoff brief
2,DEF_ELECTED_OFFICIAL_AS_LOBBYIST,C1,axis-ambiguous-name,"ID is explicit: ""ELECTED_OFFICIAL_AS_LOBBYIST"" pins actor-axis well. But description warns ""Distinct from elected officials as the targets of lobbying (which is implicit in any legislative-regime definition)"" — a possible-confusion pair the ID itself does not foreclose to a hurried reader. Lower-confidence concern than DEF_ADMIN_AGENCY_LOBBYING_TRIGGER; flagged for cross-domain consistency review.",confidence: low
3,DEF_PUBLIC_EMPLOYEE_AS_LOBBYIST,C1,axis-ambiguous-name,"Same shape as #2. ID is ""PUBLIC_EMPLOYEE_AS_LOBBYIST"" — actor-leaning. Description disambiguates ""as actors"", but a hurried reader could conflate with public-employees-as-targets-of-lobbying or with REG_EXECUTIVE_AGENCY (institutional-actor case). Lower-confidence.",confidence: low
4,DEF_PUBLIC_ENTITY,C5,wrong-domain,"Row sits in `domain=""registration""` but is a definitional predicate (""Does the law include a definition of 'public entity'?"") — the v1.2 D11 test (""Does this answer 'who is a lobbyist?' or 'what does a lobbyist file?'"") arguably routes it to `definitions`. D11 framed `definitions` as predicates ""on the agent""; ""public entity"" is precisely such a predicate (organizations as agents). Appears to revisit D11.",confidence: medium; flag for Phase 1 adjudication.
5,DEF_PUBLIC_ENTITY_OWNERSHIP,C5,wrong-domain,"Same as #4 — sub-criterion of the public-entity definition; sits in `registration`. If parent moves to `definitions`, three sub-criteria (`_OWNERSHIP`, `_STRUCTURE`, `_CHARTER`) move with it. Appears to revisit D11.",confidence: medium
6,DEF_PUBLIC_ENTITY_STRUCTURE,C5,wrong-domain,Same as #5. Appears to revisit D11.,confidence: medium
7,DEF_PUBLIC_ENTITY_CHARTER,C5,wrong-domain,Same as #5. Appears to revisit D11.,confidence: medium
8,DEF_PUBLIC_ENTITY,C1,name-misleading,"The `DEF_*` prefix in this compendium is now strongly associated with `domain=""definitions""` (post-v1.2). This row uses `DEF_*` but lives in `registration`. If the row stays in `registration`, the prefix is misleading; if it moves (#4), the prefix becomes consistent. Cross-loaded with C5 above.",confidence: medium; entanglement w/ #4
9,DEF_PUBLIC_ENTITY_OWNERSHIP,C1,name-misleading,Same as #8 (DEF_* prefix vs registration domain).,
10,DEF_PUBLIC_ENTITY_STRUCTURE,C1,name-misleading,Same as #8.,
11,DEF_PUBLIC_ENTITY_CHARTER,C1,name-misleading,Same as #8.,
12,THRESHOLD_LOBBYING_MATERIALITY_GATE,C1,axis-ambiguous-name,"""THRESHOLD_LOBBYING_MATERIALITY_GATE"" reads as a quantitative threshold name to a fellow who hasn't read the description. The description leads with ""THRESHOLD axis (qualitative)"" and explicitly contrasts with `DEF_COMPENSATION_STANDARD` / `DEF_EXPENDITURE_STANDARD` / `DEF_TIME_STANDARD`. Without that disambiguating description, ""threshold"" reads numeric. (chunk-frame preamble exists for `definitions`.)",confidence: medium
